"","NAME","DESCRIPTION","LINK"
"1","Active Comparator Arm","An arm describing the active comparator.","http://purl.obolibrary.org/obo/NCIT_C174267"
"2","Experimental Arm","An arm describing the intervention or treatment plan for a group of participants in the study receiving test product(s).","http://purl.obolibrary.org/obo/NCIT_C174266"
"3","Healthy Control","A healthy subject that is matched with an affected individual in a trial.","http://purl.obolibrary.org/obo/NCIT_C94342"
"4","Intervention","An activity that produces an effect, or that is intended to alter the course of a disease in a patient or population. This is a general term that encompasses the medical, social, behavioral, and environmental acts that can have preventive, therapeutic, or palliative effects.","http://purl.obolibrary.org/obo/NCIT_C25218"
"5","Negative Control","A control sample where a negative result is expected, to help correlate a positive result with the variable being tested.","http://purl.obolibrary.org/obo/NCIT_C64357"
"6","No Intervention Arm","A study arm without an intervention or treatment.","http://purl.obolibrary.org/obo/NCIT_C174270"
"7","Observational","Studies among cancer patients and healthy populations that involve no intervention or alteration in the status of the participants.","http://purl.obolibrary.org/obo/NCIT_C16084"
"8","Other","Other or unknown type of study arm",""
"9","Placebo Comparator Arm","An arm describing the placebo comparator.","http://purl.obolibrary.org/obo/NCIT_C174268"
"10","Positive Control","A control sample that is known to produce a positive result if the test is working as expected.","http://purl.obolibrary.org/obo/NCIT_C64356"
"11","Sham Comparator Arm","An arm describing the sham comparator.","http://purl.obolibrary.org/obo/NCIT_C174269"
"12","Treatment Arm","A specific treatment plan within a clinical trial that describes the activities a subject will be involved in as he or she progresses through the study.","http://purl.obolibrary.org/obo/NCIT_C15538"
"13","Vaccination","Administration of vaccines to stimulate the host's immune response. This includes any preparation intended for active immunological prophylaxis or treatment.","http://purl.obolibrary.org/obo/NCIT_C15346"
