"","NAME","DISEASE_ONTOLOGY_ID","DESCRIPTION","LINK","HUMAN_PHENOTYPE_ID"
"1","epidermolysis bullosa","DOID:2730","A vesiculobullous skin disease that is characterized by formation of blisters with only minor skin trauma, which can cause widespread wounds, dehydration, electrolyte abnormalities, and severe infection, frequently develops_from mutations in connective tissue elements, including genes encoding keratin, collagen, and laminin.","http://purl.obolibrary.org/obo/DOID_2730",""
"2","asthma","DOID:2841","A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing.","http://purl.obolibrary.org/obo/DOID_2841","HP:0002099"
"3","chikungunya","DOID:0050012","A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.","http://purl.obolibrary.org/obo/DOID_0050012",""
"4","hemoglobinopathy","DOID:2860","hemoglobinopathy","http://purl.obolibrary.org/obo/DOID_2860",""
"5","renal artery obstruction","DOID:2972","renal artery obstruction","http://purl.obolibrary.org/obo/DOID_2972","HP:0001920"
"6","antiphospholipid syndrome","DOID:2988","An autoimmune disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).","http://purl.obolibrary.org/obo/DOID_2988",""
"7","dengue disease","DOID:12205","A viral infectious disease that results in infection, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted by Aedes mosquito bite. The infection has symptom fever, has symptom severe headache, has symptom severe pain behind the eyes, has symptom joint pain, has symptom muscle and bone pain, has symptom rash, and has symptom mild bleeding.","http://purl.obolibrary.org/obo/DOID_12205",""
"8","substance abuse","DOID:302","A substance-related disorder that involves a maladaptive pattern of substance use leading to significant impairment in functioning.","http://purl.obolibrary.org/obo/DOID_302",""
"9","food allergy","DOID:3044","A hypersensitivity reaction type I disease that is an abnormal response to a food, triggered by the body's immune system.","http://purl.obolibrary.org/obo/DOID_3044",""
"10","chronic obstructive pulmonary disease","DOID:3083","An obstructive lung disease that is characterized by irreversible airflow obstruction due to chronic bronchitis, emphysema, and/or small airways disease.","http://purl.obolibrary.org/obo/DOID_3083","HP:0006510"
"11","proctitis","DOID:3127","A rectal disease that involves inflammation of the rectal mucosa, which results from infection, inflammatory bowel disease, or radiation. Sexually transmitted pathogens (Neisseria gonorrhoeae, Chlamydia trachomatis, herpes simplex virus 1 and 2, Treponema pallidum) and enteric pathogens (Campylobacter, Shigella, Salmonella) are involved in the disease. Symptoms are rectal discomfort and bleeding.","http://purl.obolibrary.org/obo/DOID_3127",""
"12","coronary artery disease","DOID:3393","An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.","http://purl.obolibrary.org/obo/DOID_3393","HP:0001677"
"13","peripheral vascular disease","DOID:341","A vascular disease that is characterized by obstruction of larger arteries not within the coronary, aortic arch vasculature, or brain.","http://purl.obolibrary.org/obo/DOID_341",""
"14","mixed connective tissue disease","DOID:3492","A collagen disease that is considered an overlap of three diseases, systemic lupus erythematosus, scleroderma, and polymyositis with very high titers of circulating antinuclear antibody to a ribonucleoprotein antigen.","http://purl.obolibrary.org/obo/DOID_3492",""
"15","disease","DOID:4","A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.","http://purl.obolibrary.org/obo/DOID_4",""
"16","malaria","DOID:12365","A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle.","http://purl.obolibrary.org/obo/DOID_12365",""
"17","liver disease","DOID:409","liver disease","http://purl.obolibrary.org/obo/DOID_409","HP:0001392"
"18","autoimmune disease","DOID:417","An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.","http://purl.obolibrary.org/obo/DOID_417",""
"19","scleroderma","DOID:419","A rheumatic disease that involves the abnormal growth of connective tissue, which supports the skin and internal organs.","http://purl.obolibrary.org/obo/DOID_419","HP:0100324"
"20","rhinitis","DOID:4483","A upper respiratory infectious disease which involves irritation and inflammation of the mucous membrane of the nose due to viruses, bacteria or irritants. The inflammation results in generation of excessive amounts of mucus leading to runny nose, as well as nasal congestion and post-nasal drip.","http://purl.obolibrary.org/obo/DOID_4483","HP:0012384"
"21","nutritional deficiency disease","DOID:5113","A nutrition disease that is characterized by deficiency of a nutritional element, such as a vitamin, mineral, carbohydrate, protein, fat, or general energy content.","http://purl.obolibrary.org/obo/DOID_5113",""
"22","osteoarthritis","DOID:8398","An arthritis that has_material_basis_in worn out cartilage located_in joint.","http://purl.obolibrary.org/obo/DOID_8398","HP:0002758"
"23","pituitary gland disease","DOID:53","An endocrine system disease that is located_in the pituitary gland.","http://purl.obolibrary.org/obo/DOID_53",""
"24","cranial nerve disease","DOID:5656","A neuropathy that is located_in one of the twelve cranial nerves.","http://purl.obolibrary.org/obo/DOID_5656","HP:0006824"
"25","Lyme disease","DOID:11729","A primary bacterial infectious disease that results_in infection, has_material_basis_in Borrelia burgdorferi, which is transmitted_by blacklegged tick (Ixodes scapularis) or transmitted_by western blacklegged tick (Ixodes pacificus). The infection has_symptom fever, has_symptom headache, has_symptom fatigue, and has_symptom skin rash called erythema migrans. If left untreated, infection can spread to joints, the heart, and the nervous system.","http://purl.obolibrary.org/obo/DOID_11729",""
"26","West Nile fever","DOID:2366","A viral infectious disease that results_in infection, has_material_basis_in West Nile virus, which is transmitted_by Culex and transmitted_by Aedes mosquitoes. The infection has_symptom fever, has_symptom sore throat, has_symptom headache, has_symptom body ache, has_symptom nausea, has_symptom maculopapular rash and has_symptom vomiting.","http://purl.obolibrary.org/obo/DOID_2366",""
"27","Cytomegaloviral Infection","NCIT:C53649","A herpesvirus infection caused by Cytomegalovirus. Healthy individuals generally do not produce symptoms. However, the infection may be life-threatening in affected immunocompromised patients. The virus may cause retinitis, esophagitis, gastritis, and colitis. Morphologically, it is characterized by the presence of intranuclear inclusion bodies.","http://purl.obolibrary.org/obo/NCIT_C53649",""
"28","breast cancer","DOID:1612","A thoracic cancer that originates in the mammary gland.","http://purl.obolibrary.org/obo/DOID_1612","HP:0003002"
"29","EBV Infection","NCIT:C38759","An infection that is caused by Epstein-Barr virus.","http://purl.obolibrary.org/obo/NCIT_C38759",""
"30","anthrax disease","DOID:7427","A primary bacterial infectious disease that results_in infection located_in skin, located_in lung lymph nodes or located_in gastrointestinal tract, has_material_basis_in Bacillus anthracis, transmitted_by contact with infected animals or animal products, transmitted_by airborne spores or transmitted_by ingestion of undercooked meat from infected animals and has_symptom skin ulcer, has_symptom nausea, has_symptom poor appetite, has_symptom bloody diarrhea, has_symptom fever or has_symptom shortness of breath.","http://purl.obolibrary.org/obo/DOID_7427",""
"31","Escherichia Coli Infection","NCIT:C34594","Infection with the organism Escherichia Coli.","http://purl.obolibrary.org/obo/NCIT_C34594","HP:0002740"
"32","avian influenza","DOID:4492","An influenza that results in infection located in respiratory tract of humans, domestic and wild birds, has_material_basis_in Influenza A virus, which is transmitted by contact with infected poultry. Five strains of avian influenza A viruses (H5N1, H7N3, H7N2, H7N7 and H9N2) are known to cause human infections. The infection has_symptom fever, has_symptom cough, has_symptom sore throat, has_symptom muscle aches, has_symptom nausea, has_symptom diarrhea, has_symptom vomiting, has_symptom neurologic changes, has_symptom pneumonia, and has_symptom acute respiratory distress.","http://purl.obolibrary.org/obo/DOID_4492",""
"33","bronchiolitis","DOID:2942","A lung disease that is an inflammation of the bronchioles, the smallest air passages of the lungs. It is caused by viruses and bacteria. The disease has_symptom cough, has_symptom wheezing, has_symptom shortness of breath, has_symptom fever, has_symptom nasal flaring in infants and has_symptom bluish skin due to lack of oxygen.","http://purl.obolibrary.org/obo/DOID_2942","HP:0011950"
"34","Sjogren's syndrome","DOID:12894","An autoimmune disease that involves attack of immune cells which destroy the exocrine glands that produce tears and saliva.","http://purl.obolibrary.org/obo/DOID_12894",""
"35","rheumatoid arthritis","DOID:7148","An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.","http://purl.obolibrary.org/obo/DOID_7148","HP:0001370"
"36","systemic lupus erythematosus","DOID:9074","A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.","http://purl.obolibrary.org/obo/DOID_9074","HP:0002725"
"37","celiac disease","DOID:10608","An autoimmune disease of gastrointestinal tract that is caused by a reaction located_in small intestine to gliadin, a prolamin (gluten protein) found in wheat, and similar proteins found in the crops of the tribe Triticeae. The disease is associated with HLA-DQ gene. It has_symptom abdominal pain, has_symptom constipation, has_symptom diarrhea, has_symptom nausea and vomiting, and has_symptom loss of appetite.","http://purl.obolibrary.org/obo/DOID_10608","HP:0002608"
"38","type 1 diabetes mellitus","DOID:9744","A diabetes mellitus that is characterized by destruction of pancreatic beta cells resulting in absent or extremely low insulin production.","http://purl.obolibrary.org/obo/DOID_9744","HP:0100651"
"39","brain glioma","DOID:0060108","A brain cancer that has_material_basis_in glial cells.","http://purl.obolibrary.org/obo/DOID_0060108",""
