"","NAME","DESCRIPTION","LINK"
"1","Acute/Recent onset","A short-term infection or disease characterized by a dramatic onset and rapid recovery. Primary infections fall under this category.","https://dst.liai.org/BcellDisc.html"
"2","Chronic","A long-term infection or illness and partial remission.","https://dst.liai.org/BcellDisc.html"
"3","Post","Recovery from an illness, including latent (potentially existing but not presently evident or realized) and remission (a period during which symptoms of disease disappear [complete remission]). Note that partial remission will be recorded as ""chronic"".","https://dst.liai.org/BcellDisc.html"
"4","Other","Any disease stage that cannot be classified under the selections above will be classified under ""other."" Household contacts will be recorded as ""other"".","https://dst.liai.org/BcellDisc.html"
"5","Unknown","Used when the disease stage is not clearly specified or known.","https://dst.liai.org/BcellDisc.html"
"6","COVID-19 Disease Severity 8","Patient is dead.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179018"
"7","COVID-19 Disease Severity 7","Patient is hospitalized with severe disease and requires ventilation plus additional organ support via vasopressor therapy, renal replacement therapy, or extracorporeal membrane oxygenation.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179017"
"8","COVID-19 Disease Severity 6","Patient is hospitalized with severe disease and requires intubation and mechanical ventilation.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179016"
"9","COVID-19 Disease Severity 5","Patient is hospitalized with severe disease and requires non-invasive ventilation or high-flow oxygen.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179015"
"10","COVID-19 Disease Severity 4","Patient is hospitalized with mild disease but requires oxygen by mask or nasal prongs.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179014"
"11","COVID-19 Disease Severity 3","Patient is hospitalized with mild disease but does not require oxygen therapy.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179013"
"12","COVID-19 Disease Severity 2","Patient is ambulatory but there is limitation of activities.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179012"
