"","NAME","DESCRIPTION","LINK"
"1","Fluorescent Antibody Procedure","An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.","http://purl.obolibrary.org/obo/NCIT_C17370"
"2","1D Gel","One dimensional gels are used to separate an analyte using one physical feature of the analyte.","http://purl.obolibrary.org/obo/OBI_0001121"
"3","2D Gel","Two dimensional gels are used to separate an analyte using two physical features of the analyte.","http://purl.obolibrary.org/obo/OBI_0001121"
"4","Array","Arrays (including microarrays) are a set of probes immobilized on a surface. The probes can be oligonucleotides, cDNAs, antibodies and other molecules that recognize a target. Microarrays can be constructed by several methods including (but not limited to in situ oligo synthesis (e.g. Affymetrix), cDNA spotting, bead arrays (e.g. Illumina) and antibody spotting. The position and identity of probes are provided by the manufacturer. The probe identifiers and their target are referred to as annotation or translation of probe identifiers to bioinformatic identifiers. Microarrays can be used for gene expression (mRNA transcript quantification), genotyping, cytokine quantification, etc. Microarrays for gene expression fall into two general classes- single channel and dual channel. The channel refers to the wavelength scanned for fluorescent signals. Affymetrix microarrays are obligatory single channel. There are a host of commercial and non-commercial microarray meanufacturers that use two c","http://purl.obolibrary.org/obo/OBI_0400147 ; http://purl.obolibrary.org/obo/OBI_0001204 ; http://purl.obolibrary.org/obo/OBI_0001307 ;  http://purl.obolibrary.org/obo/OBI_0400149"
"5","Cell Culture","A cell culture includes the cells in culture, as well as the media and all additives in which the cells are being grown or in which they are stored.","http://purl.obolibrary.org/obo/OBI_0001876"
"6","Circular Dichroism","Circular Dichroism is a form of spectroscopy used to determine the optical isomerism and secondary structure of molecules.","http://en.wikipedia.org/wiki/Circular_Dichroism"
"7","CyTOF","Cytometry Time Of Flight CyTOF (DVS Sciences) or Mass cytometry, or , is a variation of flow cytometry in which antibodies are labeled with heavy metal ion tags rather than fluorochromes. Readout is by time-of-flight mass spectrometry.","http://purl.obolibrary.org/obo/OBI_0002115"
"8","Cytometric Bead Array Assay","An analyte assay in which a series of beads coated with antibodies specific for different analytes and marked with discrete fluorescent labels are used to simultaneously capture and quantitate soluble analytes.","http://purl.obolibrary.org/obo/OBI_0000920"
"9","ELISA","Enzyme-Linked ImmunoSorbant Assay. Quantification of a molecule (e.g cytokine) by an antibody immobilization strategy.","http://purl.obolibrary.org/obo/OBI_0000661"
"10","ELISPOT","Enzyme-linked ImmunoSPOT. A variant of ELISA with increased resolution that allows quantifying the number of cells in a population that release a molecule (e.g. cytokine).","http://purl.obolibrary.org/obo/OBI_0600031"
