"","NAME","EXPOSURE_MATERIAL_ID","DESCRIPTION","LINK"
"1","Johnson & Johnson COVID-19 vaccine","VO:0005159","A SARS-CoV-2 recombinant viral vector vaccine composed of Ad26 vector expressing S protein, Ad26COVS1; JNJ-78436735","http://purl.obolibrary.org/obo/VO_0005159"
"2","NVX-CoV2373","VO:0005155","A SARS-CoV 2 (rSARS-CoV-2) subunit vaccine made of nanoparticles composed of a trimeric full-length SARS-CoV-2 spike glycoprotein and Matrix-M1 adjuvant","http://purl.obolibrary.org/obo/VO_0005155"
"3","Moderna COVID-19 vaccine","VO:0005157","A SARS-CoV2 RNA vaccine made of lipid nanoparticle with mRNA which encodes the S-2P antigen, made of the SARS-CoV-2 glycoprotein with a transmembrane anchor and intact S1-S2 cleavage site","http://purl.obolibrary.org/obo/VO_0005157"
"4","Oxford AstraZeneca COVID-19 vaccine","VO:0005158","A SARS-CoV2 recombinat vector vaccine made of a chimpanzee adenovirus-vectored vaccine expressing the SARS-CoV-2 spike protein","http://purl.obolibrary.org/obo/VO_0005158"
"5","Pfizer BioNTech COVID-19 vaccine","VO:0004987","A SARS-CoV-2 RNA vaccine formed from a lipid nanoparticle-formulated trimerized SARS-CoV-2 receptor-binding domain","http://purl.obolibrary.org/obo/VO_0004987"
"6","CureVac AG","VO:0005208","CureVac AG","http://purl.obolibrary.org/obo/VO_0005208"
"7","BCG Vaccine","VO:0000771","BCG Vaccine is a Mycobacterium tuberculosis vaccine that is a live attenuated strain of Mycobacterium bovis (Bacillus Calmette Guerin; BCG).","http://purl.obolibrary.org/obo/VO_0000771"
"8","PfSPZ Vaccine","VO:0004910","a malaria vaccine that protects against malaria caused by Plasmodium falciparum","http://purl.obolibrary.org/obo/VO_0004910"
"9","Dengue virus","NCBITaxon:12637","Dengue virus","http://purl.obolibrary.org/obo/NCBITaxon_12637"
"10","Dengue virus 1","NCBITaxon:11053","Dengue virus 1","http://purl.obolibrary.org/obo/NCBITaxon_11053"
"11","Dengue virus 2","NCBITaxon:11060","Dengue virus 2","http://purl.obolibrary.org/obo/NCBITaxon_11060"
"12","Human alphaherpesvirus 3","NCBITaxon:10335","Human alphaherpesvirus 3","http://purl.obolibrary.org/obo/NCBITaxon_10335"
"13","Influenza A H1N1 2009 Monovalent Vaccine Novartis","VO:0000081","Influenza A (H1N1) 2009 Monovalent Vaccine (Novartis)","http://purl.obolibrary.org/obo/VO_0000081"
"14","Influenza A virus","NCBITaxon:11320","Influenza A virus","http://purl.obolibrary.org/obo/NCBITaxon_11320"
"15","Mycobacterium tuberculosis","NCBITaxon:1773","Mycobacterium tuberculosis","http://purl.obolibrary.org/obo/NCBITaxon_1773"
"16","Meningococcal Polysaccharide Vaccine, Groups A & C, Menomune A/C","VO:0010725","Meningococcal Polysaccharide Vaccine, Groups A & C, Menomune A/C","http://purl.obolibrary.org/obo/VO_0010725"
"17","Varicella-zoster virus vaccine","VO:0000669","a Herpesvirus vaccine that is used against Varicella-zoster virus infection.","http://purl.obolibrary.org/obo/VO_0000669"
"18","West Nile virus","NCBITaxon:11082","West Nile virus","http://purl.obolibrary.org/obo/NCBITaxon_11082"
"19","Borreliella burgdorferi","NCBITaxon:139","Borreliella burgdorferi","http://purl.obolibrary.org/obo/NCBITaxon_139"
"20","PfSPZ-CVac","VO:0004911","a malaria vaccine that protects against malaria caused by Plasmodium falciparum","http://purl.obolibrary.org/obo/VO_0004911"
"21","PfSPZ-GA1","VO:0004912","a malaria vaccine that protects against malaria caused by Plasmodium falciparum","http://purl.obolibrary.org/obo/VO_0004912"
"22","Sputnik V","VO:0005163","A SARS-CoV-2 recombinant viral vector vaccine composed of Ad26 and Ad5 vectors expressing S protein that lyophilised.","http://purl.obolibrary.org/obo/VO_0005163"
"23","Sinopharm (BBIBP-CorV)","VO:0005166","A SARS-CoV-2 inactivated whole virus vaccine that produced in Vero cells that is developed by the Beijing Institute of Biological Products.","http://purl.obolibrary.org/obo/VO_0005166"
"24","Other","Other","Other","Other"
"25","AdCOVID","VO_0005153","AdCOVID","http://purl.obolibrary.org/obo/VO_0005153"
"26","Ad35.CS.01 malaria vaccine","VO:0004993","A P. falciparum malaria vaccine that is formed by tull length CS-expressing replication-deficient recombinant human adenovirus 35.","http://purl.obolibrary.org/obo/VO_0004993"
"27","P. falciparum RTS,S/AS01","VO:0003093","A malaria vaccine that consists of hepatitis B surface antigen virus-like particles, incorporating a portion of the Plasmodium falciparum-derived circumsporozoite protein and a liposome-based adjuvant.","http://purl.obolibrary.org/obo/VO_0003093"
"28","Ionizing Radiation","NCIT:C17052","High-energy radiation capable of producing ionization in substances through which it passes.","http://purl.obolibrary.org/obo/NCIT_C17052"
"29","Chikungunya virus","NCBITaxon:37124","Found from reported data using NCBI Taxomony Dump: 37124","http://purl.obolibrary.org/obo/NCBITaxon_37124"
"30","Dengue virus 3","NCBITaxon:11069","Found from reported data using NCBI Taxomony Dump: 11069","http://purl.obolibrary.org/obo/NCBITaxon_11069"
"31","Hepacivirus C","NCBITaxon:11103","Found from reported data using NCBI Taxomony Dump: 11103","http://purl.obolibrary.org/obo/NCBITaxon_11103"
"32","Human rhinovirus A16","NCBITaxon:31708","Found from reported data using NCBI Taxomony Dump: 31708","http://purl.obolibrary.org/obo/NCBITaxon_31708"
"33","Plasmodium coatneyi","NCBITaxon:208452","Found from reported data using NCBI Taxomony Dump: 208452","http://purl.obolibrary.org/obo/NCBITaxon_208452"
"34","Plasmodium cynomolgi strain B","NCBITaxon:1120755","Found from reported data using NCBI Taxomony Dump: 1120755","http://purl.obolibrary.org/obo/NCBITaxon_1120755"
"35","Plasmodium cynomolgi strain Ceylon","NCBITaxon:5829","Found from reported data using NCBI Taxomony Dump: 5829","http://purl.obolibrary.org/obo/NCBITaxon_5829"
"36","Plasmodium vivax","NCBITaxon:5855","Found from reported data using NCBI Taxomony Dump: 5855","http://purl.obolibrary.org/obo/NCBITaxon_5855"
"37","Schistosoma mansoni","NCBITaxon:6183","Found from reported data using NCBI Taxomony Dump: 6183","http://purl.obolibrary.org/obo/NCBITaxon_6183"
"38","unidentified","NCBITaxon:32644","Found from reported data using NCBI Taxomony Dump: 32644","http://purl.obolibrary.org/obo/NCBITaxon_32644"
"39","Zika virus","NCBITaxon:64320","Found from reported data using NCBI Taxomony Dump: 64320","http://purl.obolibrary.org/obo/NCBITaxon_64320"
"40","Influenza A virus (A/California/7/2009(H1N1))","NCBITaxon:1316510","Found from reported data using NCBI Taxomony Dump: 1316510","http://purl.obolibrary.org/obo/NCBITaxon_1316510"
"41","Influenza A virus (A/reassortant/FluMist(California/07/2009 x Ann Arbor/6/1960)(H1N1))","NCBITaxon:1701435","Found from reported data using NCBI Taxomony Dump: 1701435","http://purl.obolibrary.org/obo/NCBITaxon_1701435"
"42","Vaccinia virus LC16M8","NCBITaxon:10248","Found from reported data using NCBI Taxomony Dump: 10248","http://purl.obolibrary.org/obo/NCBITaxon_10248"
"43","Plasmodium falciparum","NCBITaxon:5833","malaria parasite P. falciparum","http://purl.obolibrary.org/obo/NCBITaxon_5833"
"44","Dryvax","VO:0000035","a vaccinia virus vaccine that is a freeze-dried calf lymph smallpox vaccine, specifically, Dryvax is a live-virus preparation of vaccinia prepared from calf lymph.","http://purl.obolibrary.org/obo/VO_0000035"
"45","FluMist","VO:0000044","FluMist","http://purl.obolibrary.org/obo/VO_0000044"
"46","Fluarix","VO:0000045","Fluarix","http://purl.obolibrary.org/obo/VO_0000045"
"47","Fluvirin","VO:0000046","Fluvirin","http://purl.obolibrary.org/obo/VO_0000046"
"48","Fluzone","VO:0000047","Fluzone","http://purl.obolibrary.org/obo/VO_0000047"
"49","Menactra","VO:0000071","Menactra","http://purl.obolibrary.org/obo/VO_0000071"
"50","Plasmodium falciparum vaccine","VO:0000087","a malaria vaccine that protects against malaria caused by Plasmodium falciparum.","http://purl.obolibrary.org/obo/VO_0000087"
"51","Pneumovax 23","VO:0000088","Pneumovax 23","http://purl.obolibrary.org/obo/VO_0000088"
"52","YF-Vax","VO:0000121","YF-Vax","http://purl.obolibrary.org/obo/VO_0000121"
"53","Yellow fever 17D vaccine vector","VO:0000122","a viral vaccine vector that uses Yellow fever vaccine strain 17D as the vector.","http://purl.obolibrary.org/obo/VO_0000122"
"54","Zostavax","VO:0000124","Zostavax","http://purl.obolibrary.org/obo/VO_0000124"
"55","Influenza virus vaccine","VO:0000642","A viral vaccine that protects against infection with influenza virus.","http://purl.obolibrary.org/obo/VO_0000642"
"56","Menveo","VO:0001246","Menveo","http://purl.obolibrary.org/obo/VO_0001246"
"57","MVA85A","VO:0003120","MVA85A","http://purl.obolibrary.org/obo/VO_0003120"
"58","MRKAd5 HIV-1 gag/pol/nef","VO:0003133","The MRK adenovirus type 5 human immunodeficiency virus type 1 clade B gag/pol/nef vaccine is a replication-incompetent adenovirus type 5-vectored vaccine that elicits cell-mediated immunity against conserved human immunodeficiency virus proteins.","http://purl.obolibrary.org/obo/VO_0003133"
"59","ACWY Vax","VO:0003138","ACWY Vax","http://purl.obolibrary.org/obo/VO_0003138"
"60","Stamaril","VO:0003139","It is live attenuated YFV vaccine strain 17D manufactured in China, France, Senegal, and the USA. In powder and solvent for suspension for injection in pre-filled syringe.","http://purl.obolibrary.org/obo/VO_0003139"
"61","HEPLISAV-B","VO:0003152","A Hepatitis B surface antigen viral vaccine that utilizes a cytidine-phosphate-guanosine oligodeoxynucleotide (CpGODN) 1018, as an adjuvant.","http://purl.obolibrary.org/obo/VO_0003152"
"62","LC16m8","VO:0004091","LC16m8","http://purl.obolibrary.org/obo/VO_0004091"
"63","rVSV-EBOV","VO:0004660","An Ebola virus vaccine that uses a recombinant vesicular stomatitis virus (rVSV) vector expressing an Ebola filovirus glycoprotein","http://purl.obolibrary.org/obo/VO_0004660"
"64","2008-2009 trivalent influenza vaccine","VO:0004809","2008-2009 trivalent influenza vaccine","http://purl.obolibrary.org/obo/VO_0004809"
"65","Engerix-B","VO:0010711","Engerix-B","http://purl.obolibrary.org/obo/VO_0010711"
"66","Cytomegalovirus","NCBITaxon:10358","Cytomegalovirus","http://purl.obolibrary.org/obo/NCBITaxon_10358"
"67","Human gammaherpesvirus 4 (Epstein-Barr virus)","NCBITaxon:10376","Human gammaherpesvirus 4 (Epstein-Barr virus)","http://purl.obolibrary.org/obo/NCBITaxon_10376"
"68","SARS-CoV-2","NCBITaxon:2697049","Severe acute respiratory syndrome coronavirus 2, equivalent: 2019-nCoV","http://purl.obolibrary.org/obo/NCBITaxon_2697049"
"69","Hepatitis B virus","NCBITaxon:10407","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407"
"70","diphtheria, tetanus and whole cell pertussis vaccine","VO:0003106","diphtheria, tetanus and whole cell pertussis vaccine","http://purl.obolibrary.org/obo/VO_0003106"
