"","NAME","DESCRIPTION","LINK"
"1","Affymetrix CEL","Affymetrix CEL file.","http://media.affymetrix.com/support/developer/powertools/changelog/gcos-agcc/cel.html"
"2","Affymetrix format","Affymetrix genotyping format.","http://www.affymetrix.com/support/technical/whitepapers.affx"
"3","Affymetrix other","Other Affymetrix file formats (DAT, RPT, and TXT formats).","http://www.affymetrix.com/support/technical/whitepapers.affx"
"4","BAM","Binary representation of SAM (Sequence Alignment/Map).","https://en.wikipedia.org/wiki/Binary_Alignment_Map"
"5","Converted FCS file","FCS file converted for FLOW analysis.","https://en.wikipedia.org/wiki/Flow_Cytometry_Standard; http://bioconductor.org/packages/release/bioc/html/flowCore.html"
"6","Custom","A user defined custom format.","http://immport.org/immport-open/public/home/documentation"
"7","CyTOF workspace","CyTOF analysis software workspace.","http://immport.org/immport-open/public/home/documentation"
"8","FASTQ","FASTQ- sequencing read data file format for combining the sequence and per base quality score.","https://en.wikipedia.org/wiki/FASTQ_format"
"9","FPKM","Fragments Per Kilobase Of Exon Per Million Fragments- Measurement of mRNA abundance using RNA-seq data.","http://www.ncbi.nlm.nih.gov/pubmed/20436464"
"10","Flow cytometry result in text format","Flow cytometer or analysis software output in text format.","https://en.wikipedia.org/wiki/Flow_Cytometry_Standard; http://bioconductor.org/packages/release/bioc/html/flowCore.html"
"11","Flow cytometry workspace","Flow cytometry analysis software workspace.","http://docs.flowjo.com/vx/workspaces-and-samples/ws-savinganalysis/"
"12","GenePattern data set","GenePattern GCT file format.","http://www.broadinstitute.org/cancer/software/genepattern/file-formats-guide"
"13","HLA result","HLA result in ImmPort format.","http://immport.org/immport-open/public/home/documentation"
"14","Hemagglutination inhibition result","HIA result in custom format.","http://immport.org/immport-open/public/home/documentation"
"15","Illumina BeadArray","Illumina BeadArray format.","http://www.illumina.com/content/illumina-marketing/amr/en_US/technology/beadarray-technology.html"
"16","Illumina GA","Illumina Genome Analyzer sequencer non-normalized result.","http://purl.obolibrary.org/obo/NCIT_C146817"
"17","ImmPort template","ImmPort defined file format.","http://immport.org/immport-open/public/home/documentation"
"18","KIR result","KIR result.","http://immport.org/immport-open/public/home/documentation"
"19","MBAA result","Multiplex Bead Array Assay. bead level result are the primary output of MBBA instruments.","http://immport.org/immport-open/public/home/documentation"
"20","MBAA","Multiplex Bead Array Assay.","http://immport.org/immport-open/public/home/documentation"
"21","Markers or channels description","Description of marker or channels in a FCS file.","http://immport.org/immport-open/public/home/documentation"
"22","Mass spectrometry result","Mass result in custom format.","http://immport.org/immport-open/public/home/documentation"
"23","Q-PCR result","Q-PCR result file.","http://immport.org/immport-open/public/home/documentation"
"24","RPKM","Reads Per Kilobase per Million reads- Measurement of mRNA abundance using RNA-seq data.","http://www.ncbi.nlm.nih.gov/pubmed/18516045"
"25","TPM","Transcripts per million reads- Measurement of mRNA abundance using RNA-seq data.","http://www.ncbi.nlm.nih.gov/pubmed/22872506"
"26","Archived","Files stored and not linked to result data.","http://immport.org/immport-open/public/home/documentation"
"27","CRF Description","Assessment CRF document.","http://purl.obolibrary.org/obo/NCIT_C40988"
"28","Flow cytometry compensation or control","Flow cytometry compensation or control files.","http://flowbook.denovosoftware.com/chapter-5-immunofluorescence-and-colour-compensation"
"29","ImmPort BDC file","ImmPort defined file format for database updates.","http://immport.org/immport-open/public/home/documentation"
"30","Neutralizing antibody titer result","Neutralizing antibody titer result","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C94196"
"31","Image Histology result","Image Histology result","http://immport.org/immport-open/public/home/documentation"
"32","Custom assay result","Custom assay result.","http://immport.org/immport-open/public/home/documentation"
"33","CyTOF result","CyTOF result.","http://immport.org/immport-open/public/home/documentation; https://en.wikipedia.org/wiki/Mass_cytometry"
"34","ELISA result","Measurement values from ELISA assays.","http://purl.obolibrary.org/obo/NCIT_C16553"
"35","ELISPOT result","Measurement values from ELISpot assays.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C102632"
"36","Flow cytometry result","Flow cytometry result.","http://flowbook.denovosoftware.com/chapter-5-immunofluorescence-and-colour-compensation"
"37","Gene expression result","Measurement values from  Gene expression assays.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C16608"
"38","Genotyping result","Measurement Genotyping result.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C45447"
"39","HAI description","Metadata for HAI results.","http://immport.org/immport-open/public/home/documentation"
"40","HAI result","HAI result.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C120688"
"41","RNA sequencing result","Measurement RNA sequencing result.","http://purl.obolibrary.org/obo/NCIT_C124261"
"42","Virus neutralization result","Virus neutralization results.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C94196"
"43","Virus titer result","Measurement of virus titer.","http://immport.org/immport-open/public/home/documentation ; http://purl.obolibrary.org/obo/NCIT_C67454"
