"","HMDB_ID","NAME","DESCRIPTION","LINK"
"1","HMDB00001","1-Methylhistidine","1-Methylhistidine, also known as 1-mhis, belongs to the class of organic compounds known as histidine and derivatives. Histidine and derivatives are compounds containing cysteine or a derivative thereof resulting from reaction of cysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. 1-Methylhistidine has been found in human muscle and skeletal muscle tissues, and has also been detected in most biofluids, including cerebrospinal fluid, saliva, blood, and feces. Within the cell, 1-methylhistidine is primarily located in the cytoplasm. 1-Methylhistidine participates in a number of enzymatic reactions. In particular, 1-Methylhistidine and Beta-alanine can be converted into anserine; which is catalyzed by the enzyme carnosine synthase 1. In addition, Beta-Alanine and 1-methylhistidine can be biosynthesized from anserine; which is mediated by the enzyme cytosolic non-specific dipeptidase. In humans, 1-methylhistidine is involved in the histidine metabolism pathway. 1-Methylhistidine is also involved in the metabolic disorder called the histidinemia pathway.","http://www.hmdb.ca/metabolites/HMDB0000001"
"2","HMDB0000001","1-Methylhistidine","1-Methylhistidine, also known as 1-mhis, belongs to the class of organic compounds known as histidine and derivatives. Histidine and derivatives are compounds containing cysteine or a derivative thereof resulting from reaction of cysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. 1-Methylhistidine has been found in human muscle and skeletal muscle tissues, and has also been detected in most biofluids, including cerebrospinal fluid, saliva, blood, and feces. Within the cell, 1-methylhistidine is primarily located in the cytoplasm. 1-Methylhistidine participates in a number of enzymatic reactions. In particular, 1-Methylhistidine and Beta-alanine can be converted into anserine; which is catalyzed by the enzyme carnosine synthase 1. In addition, Beta-Alanine and 1-methylhistidine can be biosynthesized from anserine; which is mediated by the enzyme cytosolic non-specific dipeptidase. In humans, 1-methylhistidine is involved in the histidine metabolism pathway. 1-Methylhistidine is also involved in the metabolic disorder called the histidinemia pathway.","http://www.hmdb.ca/metabolites/HMDB0000001"
"3","HMDB00008","2-Hydroxybutyric acid","(+/-)alpha-hydoxy butyric acid, also known as 2-hydroxybutanoic acid or alpha-hydroxybutyrate, belongs to the class of organic compounds known as alpha hydroxy acids and derivatives. These are organic compounds containing a carboxylic acid substituted with a hydroxyl group on the adjacent carbon (+/-)alpha-hydoxy butyric acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa) (+/-)alpha-hydoxy butyric acid has been found in human prostate tissue, and has also been detected in most biofluids, including blood, feces, sweat, and saliva. Within the cell, (+/-)alpha-hydoxy butyric acid is primarily located in the cytoplasm (+/-)alpha-hydoxy butyric acid exists in all eukaryotes, ranging from yeast to humans. In humans, (+/-)alpha-hydoxy butyric acid is involved in the propanoate metabolism pathway (+/-)alpha-hydoxy butyric acid is also involved in a few metabolic disorders, which include the methylmalonic aciduria due to cobalamin-related disorders pathway, the malonic aciduria pathway, and malonyl-CoA decarboxylase deficiency (+/-)alpha-hydoxy butyric acid has been found to be associated with several diseases known as dihydrolipoamide dehydrogenase deficiency and schizophrenia; (+/-)alpha-hydoxy butyric acid has also been linked to the inborn metabolic disorders including pyruvate dehydrogenase deficiency.","http://www.hmdb.ca/metabolites/HMDB0000008"
"4","HMDB0000008","2-Hydroxybutyric acid","(+/-)alpha-hydoxy butyric acid, also known as 2-hydroxybutanoic acid or alpha-hydroxybutyrate, belongs to the class of organic compounds known as alpha hydroxy acids and derivatives. These are organic compounds containing a carboxylic acid substituted with a hydroxyl group on the adjacent carbon (+/-)alpha-hydoxy butyric acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa) (+/-)alpha-hydoxy butyric acid has been found in human prostate tissue, and has also been detected in most biofluids, including blood, feces, sweat, and saliva. Within the cell, (+/-)alpha-hydoxy butyric acid is primarily located in the cytoplasm (+/-)alpha-hydoxy butyric acid exists in all eukaryotes, ranging from yeast to humans. In humans, (+/-)alpha-hydoxy butyric acid is involved in the propanoate metabolism pathway (+/-)alpha-hydoxy butyric acid is also involved in a few metabolic disorders, which include the methylmalonic aciduria due to cobalamin-related disorders pathway, the malonic aciduria pathway, and malonyl-CoA decarboxylase deficiency (+/-)alpha-hydoxy butyric acid has been found to be associated with several diseases known as dihydrolipoamide dehydrogenase deficiency and schizophrenia; (+/-)alpha-hydoxy butyric acid has also been linked to the inborn metabolic disorders including pyruvate dehydrogenase deficiency.","http://www.hmdb.ca/metabolites/HMDB0000008"
"5","HMDB00017","4-Pyridoxic acid","4-Pyridoxic acid, also known as 4-pyridoxate, belongs to the class of organic compounds known as pyridinecarboxylic acids. Pyridinecarboxylic acids are compounds containing a pyridine ring bearing a carboxylic acid group. 4-Pyridoxic acid exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). 4-Pyridoxic acid has been found in human liver, bladder and kidney tissues, and has also been primarily detected in saliva, feces, urine, and blood. Within the cell, 4-pyridoxic acid is primarily located in the cytoplasm. 4-Pyridoxic acid can be biosynthesized from pyridoxal; which is mediated by the enzyme aldehyde oxidase. In humans, 4-pyridoxic acid is involved in the vitamin B6 metabolism pathway. 4-Pyridoxic acid is also involved in the metabolic disorder called the hypophosphatasia pathway.","http://www.hmdb.ca/metabolites/HMDB0000017"
"6","HMDB0000017","4-Pyridoxic acid","4-Pyridoxic acid, also known as 4-pyridoxate, belongs to the class of organic compounds known as pyridinecarboxylic acids. Pyridinecarboxylic acids are compounds containing a pyridine ring bearing a carboxylic acid group. 4-Pyridoxic acid exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). 4-Pyridoxic acid has been found in human liver, bladder and kidney tissues, and has also been primarily detected in saliva, feces, urine, and blood. Within the cell, 4-pyridoxic acid is primarily located in the cytoplasm. 4-Pyridoxic acid can be biosynthesized from pyridoxal; which is mediated by the enzyme aldehyde oxidase. In humans, 4-pyridoxic acid is involved in the vitamin B6 metabolism pathway. 4-Pyridoxic acid is also involved in the metabolic disorder called the hypophosphatasia pathway.","http://www.hmdb.ca/metabolites/HMDB0000017"
"7","HMDB00019","alpha-Ketoisovaleric acid",", also known as alpha-ketovaline or 2-oxoisovalerate, belongs to the class of organic compounds known as short-chain keto acids and derivatives. These are keto acids with an alkyl chain the contains less than 6 carbon atoms. Thus, is considered to be a fatty acid lipid molecule. exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). has been detected in most biofluids, including feces, saliva, cerebrospinal fluid, and urine. Within the cell, is primarily located in the cytoplasm and mitochondria. exists in all eukaryotes, ranging from yeast to humans. In humans, is involved in the valine, leucine and isoleucine degradation pathway. is also involved in several metabolic disorders, some of which include the 3-methylglutaconic aciduria type I pathway, 3-methylcrotonyl CoA carboxylase deficiency type I, the 3-methylglutaconic aciduria type IV pathway, and 3-hydroxy-3-methylglutaryl-CoA lyase deficiency. Outside of the human body, can be found in a number of food items such as mung bean, poppy, pistachio, and garden onion. This makes a potential biomarker for the consumption of these food products. is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000019"
"8","HMDB0000019","alpha-Ketoisovaleric acid",", also known as alpha-ketovaline or 2-oxoisovalerate, belongs to the class of organic compounds known as short-chain keto acids and derivatives. These are keto acids with an alkyl chain the contains less than 6 carbon atoms. Thus, is considered to be a fatty acid lipid molecule. exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). has been detected in most biofluids, including feces, saliva, cerebrospinal fluid, and urine. Within the cell, is primarily located in the cytoplasm and mitochondria. exists in all eukaryotes, ranging from yeast to humans. In humans, is involved in the valine, leucine and isoleucine degradation pathway. is also involved in several metabolic disorders, some of which include the 3-methylglutaconic aciduria type I pathway, 3-methylcrotonyl CoA carboxylase deficiency type I, the 3-methylglutaconic aciduria type IV pathway, and 3-hydroxy-3-methylglutaryl-CoA lyase deficiency. Outside of the human body, can be found in a number of food items such as mung bean, poppy, pistachio, and garden onion. This makes a potential biomarker for the consumption of these food products. is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000019"
"9","HMDB00020","p-Hydroxyphenylacetic acid","4-Hydroxyphenylacetic acid, also known as (p-hydroxyphenyl)acetate or 4-hydroxybenzeneacetate, belongs to the class of organic compounds known as 1-hydroxy-2-unsubstituted benzenoids. These are phenols that are unsubstituted at the 2-position. 4-Hydroxyphenylacetic acid exists as a solid, slightly soluble (in water), and a weakly acidic compound (based on its pKa). 4-Hydroxyphenylacetic acid has been found throughout most human tissues, and has also been detected in most biofluids, including cerebrospinal fluid, blood, feces, and urine. Within the cell, 4-hydroxyphenylacetic acid is primarily located in the cytoplasm. 4-Hydroxyphenylacetic acid exists in all eukaryotes, ranging from yeast to humans. In humans, 4-hydroxyphenylacetic acid is involved in the tyrosine metabolism pathway and the disulfiram action pathway. 4-Hydroxyphenylacetic acid is also involved in several metabolic disorders, some of which include the tyrosinemia type I pathway, the hawkinsinuria pathway, monoamine oxidase-a deficiency (mao-a), and tyrosinemia, transient, OF the newborn pathway. Outside of the human body, 4-hydroxyphenylacetic acid can be found in a number of food items such as evening primrose, corn, cocoa bean, and oat. This makes 4-hydroxyphenylacetic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000020"
"10","HMDB0000020","p-Hydroxyphenylacetic acid","4-Hydroxyphenylacetic acid, also known as (p-hydroxyphenyl)acetate or 4-hydroxybenzeneacetate, belongs to the class of organic compounds known as 1-hydroxy-2-unsubstituted benzenoids. These are phenols that are unsubstituted at the 2-position. 4-Hydroxyphenylacetic acid exists as a solid, slightly soluble (in water), and a weakly acidic compound (based on its pKa). 4-Hydroxyphenylacetic acid has been found throughout most human tissues, and has also been detected in most biofluids, including cerebrospinal fluid, blood, feces, and urine. Within the cell, 4-hydroxyphenylacetic acid is primarily located in the cytoplasm. 4-Hydroxyphenylacetic acid exists in all eukaryotes, ranging from yeast to humans. In humans, 4-hydroxyphenylacetic acid is involved in the tyrosine metabolism pathway and the disulfiram action pathway. 4-Hydroxyphenylacetic acid is also involved in several metabolic disorders, some of which include the tyrosinemia type I pathway, the hawkinsinuria pathway, monoamine oxidase-a deficiency (mao-a), and tyrosinemia, transient, OF the newborn pathway. Outside of the human body, 4-hydroxyphenylacetic acid can be found in a number of food items such as evening primrose, corn, cocoa bean, and oat. This makes 4-hydroxyphenylacetic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000020"
