"","NAME","DESCRIPTION","LINK"
"1","Assay","Protocol used to assay or measure an experiment sample",""
"2","Bio Sample Preparation","Biological Sample Preparation.",""
"3","Bio Sample Treatment","Protocol used to prepare Biological Sample.",""
"4","Biomaterial Transformation","Protocol used to prepare or modify a biological sample",""
"5","Clinical","Clinical",""
"6","Data Processing","Data Processing",""
"7","Data Transformation","Protocol used to analyze or reformat data",""
"8","Experiment","Protocol used in the Experiment.",""
"9","Experimental Sample","Protocol used for Experimental Sample.",""
"10","Not Specified","Protcol Type is not specified or not received. If no Protocol Type value is received, then this is the system default value.",""
"11","Other","Other",""
"12","Study Protocol","'Study_Protocol' Study design description.",""
"13","Study Summary","'Study_Summary' Study review after a study is closed.",""
"14","Subject Organism Treatment","Subject Organism Treatment",""
"15","Clinical Trials Operational Procedure Manual","Documentation describing clinical trial-related work processes.","http://purl.obolibrary.org/obo/NCIT_C115764"
"16","Institutional Review Board Independent Ethics Committee Informed Consent Document","Records approved by the Institutional Review Board (IRB)/Independent Ethics Committee (IEC), explaining study information to assist study volunteers in understanding the expectations and requirements of trial participation.","http://purl.obolibrary.org/obo/NCIT_C115697"
"17","Clinical Trial Monitoring Plan","A proposed method to ensure the adequate monitoring of subjects during a clinical trial.","http://purl.obolibrary.org/obo/NCIT_C115753"
"18","Laboratory Sample Manual","Documentation describing work processes and procedures for the collection, handling, and shipping of a sample.","http://purl.obolibrary.org/obo/NCIT_C115541"
"19","Clinical Study Protocol","Clinical Study Protocol","http://purl.obolibrary.org/obo/NCIT_C25320"
"20","Statistical Analysis Documentation","Statistical Analysis Documentation","http://purl.obolibrary.org/obo/NCIT_C115732"
"21","Case Report Form","Case Report Form","http://purl.obolibrary.org/obo/NCIT_C40988"
