"","NAME","DESCRIPTION","LINK"
"1","FlowRepository","A database of flow cytometry experiments where you can query and download data collected and annotated according to the MIFlowCyt standard.","http://flowrepository.org"
"2","Broad Single Cell Portal","The Single Cell Portal was developed to facilitate sharing scientific results, and disseminating data generated from single cell technologies.","https://singlecell.broadinstitute.org/single_cell"
"3","GEO","GEO is a public functional genomics data repository supporting MIAME-compliant data submissions. Array- and sequence-based data are accepted. Tools are provided to help users query and download experiments and curated gene expression profiles.","http://www.ncbi.nlm.nih.gov/geo/"
"4","SRA","The Sequence Read Archive (SRA) stores raw sequencing data from the next generation of sequencing platforms including Roche 454 GS System, Illumina Genome Analyzer, Applied Biosystems SOLiD System, Helicos Heliscope, Complete Genomics, and Pacific Biosciences SMRT.","http://www.ncbi.nlm.nih.gov/sra"
"5","dbGAP","The database of Genotypes and Phenotypes (dbGaP) was developed to archive and distribute the results of studies that have investigated the interaction of genotype and phenotype.","http://www.ncbi.nlm.nih.gov/gap"
"6","Ensembl","Ensembl gene repository",""
"7","NCBI Gene","NCBI gene repository",""
"8","UniProt","The mission of UniProt is to provide the scientific community with a comprehensive, high-quality and freely accessible resource of protein sequence and functional information.","https://www.uniprot.org/"
"9","MG-RAST","The open-source metagenomics RAST service provides a new paradigm for the annotation and analysis of metagenomes. With built-in support for multiple data sources and a back end that houses abstract data types, the metagenomics RAST is stable, extensible, and freely available to all researchers.","mg-rast.org"
"10","ImmPort","Immunology Database and Analysis Portal (ImmPort).","http://www.immport.org/immport-open/public/home/home"
"11","PRIDE","The PRIDE PRoteomics IDEntifications (PRIDE) database is a centralized, standards compliant, public data repository for proteomics data, including protein and peptide identifications, post-translational modifications and supporting spectral evidence. PRIDE is a core member in the ProteomeXchange (PX) consortium, which provides a single point for submitting mass spectrometry based proteomics data to public-domain repositories. Datasets are submitted to PRIDE via ProteomeXchange and are handled by expert biocurators.","https://www.ebi.ac.uk/pride/archive/"
"12","ENA","The European Nucleotide Archive (ENA) provides a comprehensive record of the world's nucleotide sequencing information, covering raw sequencing data, sequence assembly information and functional annotation.","http://www.ebi.ac.uk/ena"
"13","GenBank","GenBank is the NIH genetic sequence database, an annotated collection of all publicly available DNA sequences.","https://www.ncbi.nlm.nih.gov/genbank/"
"14","MassIVE","MassIVE is a community resource developed by the NIH-funded Center for Computational Mass Spectrometry to promote the global, free exchange of mass spectrometry data. MassIVE datasets can be assigned ProteomeXchange accessions to satisfy publication requirements.","https://massive.ucsd.edu/ProteoSAFe/static/massive.jsp"
"15","MetaboLights","A database for Metabolomics experiments and derived information. The database is cross-species, cross-technique and covers metabolite structures and their reference spectra as well as their biological roles, locations and concentrations, and experimental data from metabolic experiments.","https://www.ebi.ac.uk/metabolights/"
"16","GISAID","The GISAID Initiative promotes the rapid sharing of data from all influenza viruses and the coronavirus causing COVID-19. This includes genetic sequence and related clinical and epidemiological data associated with human viruses, and geographical as well as species-specific data associated with avian and other animal viruses, to help researchers understand how viruses evolve and spread during epidemics and pandemics.","https://www.gisaid.org/"
"17","IEDB","The Immune Epitope Database (IEDB) is a freely available resource funded by NIAID. It catalogs experimental data on antibody and T cell epitopes studied in humans, non-human primates, and other animal species in the context of infectious disease, allergy, autoimmunity and transplantation. The IEDB also hosts tools to assist in the prediction and analysis of epitopes.","https://www.iedb.org/"
"18","MGnify","MGnify offers an automated pipeline for the analysis and archiving of microbiome data to help determine the taxonomic diversity and functional & metabolic potential of environmental samples. Users can submit their own data for analysis or freely browse all of the analysed public datasets held within the repository.","https://www.ebi.ac.uk/metagenomics/"
"19","ArrayExpress","ArrayExpress Archive of Functional Genomics Data stores data from high-throughput functional genomics experiments, and provides these data for reuse to the research community.","https://www.ebi.ac.uk/arrayexpress/"
"20","Metabolomics Workbench","A National Metabolomics Data Repository (NMDR) which is a public repository for metabolomics metadata and experimental data","https://www.metabolomicsworkbench.org"
