"","NAME","DESCRIPTION","LINK"
"1","Nasal lavage fluid","Fluid obtained by irrigation or washout of the nasal cavity and nasal mucosa. [database_cross_reference: Mondofacto_Dictionary:http://www.mondofacto.com/facts/dictionary?]","http://purl.obolibrary.org/obo/BTO_0004977"
"2","Nasopharyngeal Swab Specimen","A biospecimen collected from the back of the throat by swabbing.","http://purl.obolibrary.org/obo/NCIT_C155831"
"3","Nasal Swab or Nose Specimen","A biospecimen collected from the nasal passages by swabbing.","http://purl.obolibrary.org/obo/NCIT_C155833"
"4","Rectal Swab Specimen","A biospecimen collected from the rectum by swabbing.","http://purl.obolibrary.org/obo/NCIT_C173641"
"5","Oropharyngeal Swab Specimen","A biospecimen collected from the oropharynx by swabbing.","http://purl.obolibrary.org/obo/NCIT_C155835"
"6","Feces","The material discharged from the bowel during defecation. It consists of undigested food, intestinal mucus, epithelial cells, and bacteria.","http://purl.obolibrary.org/obo/NCIT_C13234"
"7","Appendix","Small tissue projection existing as a cecal diverticulum with a questionable history of vestigial versus specialized organ.","http://purl.obolibrary.org/obo/NCIT_C12380"
"8","cell line","A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).","http://purl.obolibrary.org/obo/CLO_0000031"
"9","Tumor Tissue","A tumor sample, or entire tumor that is removed for microscopic examination.","http://purl.obolibrary.org/obo/NCIT_C18009"
"10","Decidua","The hormone-responsive glandular layer of ENDOMETRIUM that sloughs off at each menstrual flow (decidua menstrualis) or at the termination of pregnancy. During pregnancy, the thickest part of the decidua forms the maternal portion of the PLACENTA, thus named decidua placentalis. The thin portion of the decidua covering the rest of the embryo is the decidua capsularis. (MSH). The epithelial tissue of the endometrium. (NCI)","https://uts.nlm.nih.gov/uts/umls/concept/C0011106"
"11","Bone","Skeletal element that is composed of bone tissue.","http://purl.obolibrary.org/obo/UBERON_0001474"
"12","Carbohydrate","Any member of the class of organooxygen compounds that is a polyhydroxy-aldehyde or -ketone or a lactol resulting from their intramolecular condensation (monosaccharides); substances derived from these by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom; and polymeric products arising by intermolecular acetal formation between two or more such molecules (disaccharides, polysaccharides and oligosaccharides). Carbohydrates contain only carbon, hydrogen and oxygen atoms; prior to any oxidation or reduction, most have the empirical formula Cm(H2O)n. Compounds obtained from carbohydrates by substitution, etc., are known as carbohydrate derivatives and may contain other elements. Cyclitols are generally not regarded as carbohydrates.","http://purl.obolibrary.org/obo/CHEBI_16646"
