"","NAME","DESCRIPTION","LINK"
"1","Adverse Events","Study file type is Adverse Events.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C41331"
"2","Assessment Results","Study file type is Assessment Results.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C25217"
"3","Case Report Form","Study file type is Case Report Form.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C40988"
"4","Concomitant Medications","Study file type is Concomitant Medications.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C49568"
"5","Data Dictionary","Study file type is Data Dictionary.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C49461"
"6","Demographics","Study file type is Demographics.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C16495"
"7","Interventions","Study file type is Interventions.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C25218"
"8","Lab Test Results","Study file type is Lab Test Results (e.g. CBC, chemistry, cytokine).","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C36292"
"9","Study Data","Data associated with a study. For studies at a data curation level 0, this is the default setting for data linked to a study.","https://immport.org/resources/documentation"
"10","Study Medication","Study file type is Study Medication.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C459"
"11","Study Summary Description","Study Summary Description document.","https://immport.org/resources/documentation"
"12","Substance Use","Study file type is Substance Use.","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C49615"
"13","Screening Data","Study file type is Screening Data","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C48262"
"14","Medical History Data","Study file type is Medical History Data","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C18772"
"15","Protocol Deviation Data","Study file type is Protocol Deviation Data","https://immport.org/resources/documentation ; http://purl.obolibrary.org/obo/NCIT_C50996"
"16","JSON Summary Description","SeroNet JSON Summary Description","https://www.cancer.gov/research/key-initiatives/covid-19/coronavirus-research-initiatives/serological-sciences-network"
