"","NAME","DESCRIPTION","LINK"
"1","Equatorial Guinea","A country in Central Africa. It is one of the smallest countries in continental Africa, and comprises two regions: Rio Muni, continental region including several offshore islands; and Insular Region containing Annobon island in the South Atlantic Ocean, and Bioko island (formerly Fernando Po) that contains the capital, Malabo. Equatorial Guinea is divided into seven provinces which are divided into districts.","http://purl.obolibrary.org/obo/GAZ_00001091"
"2","Eritrea","A country situated in northern East Africa. It is bordered by Sudan in the west, Ethiopia in the south, and Djibouti in the southeast. The east and northeast of the country have an extensive coastline on the Red Sea, directly across from Saudi Arabia and Yemen. The Dahlak Archipelago and several of the Hanish Islands are part of Eritrea. Eritrea is divided into six regions (zobas) and subdivided into districts (""sub-zobas"").","http://purl.obolibrary.org/obo/GAZ_00000581"
"3","Estonia","A country in Northern Europe. Estonia has land borders to the south with Latvia and to the east with Russia. It is separated from Finland in the north by the Gulf of Finland and from Sweden in the west by the Baltic Sea. Estonia is divided into 15 counties. (maakonnad; sing. - maakond). Estonian counties are divided into rural (vallad, singular vald) and urban (linnad, singular linn; alevid, singular alev; alevikud, singular alevik) municipalities. The municipalities comprise populated places (asula or asustusuksus) - various settlements and territorial units that have no administrative function. A group of populated places form a rural municipality with local administration. Most towns constitute separate urban municipalities, while some have joined with surrounding rural municipalities.","http://purl.obolibrary.org/obo/GAZ_00002959"
"4","Ethiopia","A country situated in the Horn of Africa that has been landlocked since the independence of its northern neighbor Eritrea in 1993. Apart from Eritrea to the north, Ethiopia is bordered by Sudan to the west, Kenya to the south, Djibouti to the northeast, and Somalia to the east. Since 1996 Ethiopia has had a tiered government system consisting of a federal government overseeing ethnically-based regional states, zones, districts (woredas), and neighborhoods (kebele). It is divided into nine ethnically-based administrative states (kililoch, singular kilil) and subdivided into sixty-eight zones and two chartered cities (astedader akababiwoch, singular astedader akababi): Addis Ababa and Dire Dawa. It is further subdivided into 550 woredas and six special woredas.","http://purl.obolibrary.org/obo/GAZ_00000567"
"5","Fiji","An island nation in the South Pacific Ocean east of Vanuatu, west of Tonga and south of Tuvalu. The country occupies an archipelago of about 322 islands, of which 106 are permanently inhabited, and 522 islets. The two major islands, Viti Levu and Vanua Levu, account for 87% of the population.","http://purl.obolibrary.org/obo/GAZ_00006891"
"6","Finland","A Nordic country situated in the Fennoscandian region of Northern Europe. It has borders with Sweden to the west, Russia to the east, and Norway to the north, while Estonia lies to its south across the Gulf of Finland. The capital city is Helsinki. Finland is divided into six administrative provinces (laani, plural laanit). These are divided into 20 regions (maakunt), 77 subregions (seutukunta) and then into municipalities (kunta).","http://purl.obolibrary.org/obo/GAZ_00002937"
"7","Gabon","A country in west central Africa sharing borders with Equatorial Guinea, Cameroon, Republic of the Congo and the Gulf of Guinea. The capital and largest city is Libreville. Gabon is divided into 9 provinces and further divided into 37 departments.","http://purl.obolibrary.org/obo/GAZ_00001092"
"8","Gambia","A country in Western Africa. It is the smallest country on the African continental mainland and is bordered to the north, east, and south by Senegal, and has a small coast on the Atlantic Ocean in the west. Flowing through the centre of the country and discharging to the Atlantic Ocean is the Gambia River. The Gambia is divided into five divisions and one city (Banjul). The divisions are further subdivided into 37 districts.","http://purl.obolibrary.org/obo/GAZ_00000907"
"9","Georgia","A Eurasian country in the Caucasus located at the east coast of the Black Sea. In the north, Georgia has a 723 km common border with Russia, specifically with the Northern Caucasus federal district. The following Russian republics/subdivisions: from west to east: border Georgia: Krasnodar Krai, Karachay-Cherkessia, Kabardino-Balkaria, North Ossetia-Alania, Ingushetia, Chechnya, Dagestan. Georgia also shares borders with Azerbaijan (322 km) to the south-east, Armenia (164 km) to the south, and Turkey (252 km) to the south-west. It is a transcontinental country, located at the juncture of Eastern Europe and Western Asia. Georgia is divided into 9 regions, 2 autonomous republics (avtonomiuri respublika), and 1 city (k'alak'i). The regions are further subdivided into 69 districts (raioni).","http://purl.obolibrary.org/obo/GAZ_00004942"
"10","Germany","A country in Central Europe. It is bordered to the north by the North Sea, Denmark, and the Baltic Sea; to the east by Poland and the Czech Republic; to the south by Austria and Switzerland; and to the west by France, Luxembourg, Belgium, and the Netherlands. Germany comprises 16 states (Lander, Bundeslander), which are further subdivided into 439 districts (Kreise/Landkreise) and cities (kreisfreie Stadte).","http://purl.obolibrary.org/obo/GAZ_00002646"
"11","Ghana","A country in West Africa. It borders Cote d'Ivoire to the west, Burkina Faso to the north, Togo to the east, and the Gulf of Guinea to the south. Ghana is a divided into 10 regions, subdivided into a total of 138 districts.","http://purl.obolibrary.org/obo/GAZ_00000908"
"12","Greece","A country in southeastern Europe, situated on the southern end of the Balkan Peninsula. It has borders with Albania, the former Yugoslav Republic of Macedonia and Bulgaria to the north, and Turkey to the east. The Aegean Sea lies to the east and south of mainland Greece, while the Ionian Sea lies to the west. Both parts of the Eastern Mediterranean basin feature a vast number of islands. Greece consists of thirteen peripheries subdivided into a total of fifty-one prefectures (nomoi, singular nomos). There is also one autonomous area, Mount Athos, which borders the periphery of Central Macedonia.","http://purl.obolibrary.org/obo/GAZ_00002945"
"13","Greenland","A self-governing Danish province located between the Arctic and Atlantic Oceans, east of the Canadian Arctic Archipelago.","http://purl.obolibrary.org/obo/GAZ_00001507"
"14","Grenada","Grenada","http://purl.obolibrary.org/obo/GAZ_02000573"
