"","NAME","DESCRIPTION","LINK","TYPE"
"1","IU/ml","A unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one milliliter of system volume.","http://purl.obolibrary.org/obo/NCIT_C67377","concentration"
"2","AI","Antibody Index","https://www.aacc.org/publications/cln/articles/2014/june/ana-testing","concentration"
"3","AFU","Arbitrary Fluorescence Units","http://purl.obolibrary.org/obo/NCIT_C77534","concentration"
"4","categorical","Categorical data are types of data which may be divided into groups.","http://purl.obolibrary.org/obo/NCIT_C142412","derived_result"
"5","PFU","Plaque-forming unit. A measure of viable infectious entities (e.g. viral particles or group of particles) in the specimen or product defined as the smallest quantity that can produce a cytopathic effect in the host cell culture challenged with the defined inoculum, visible under the microscope and/or to the naked eye as a plaque. A number of plaque forming units (PFU) per unit volume is a conventional way to refer the titer of an infective entity in a specimen or preparation.","http://purl.obolibrary.org/obo/NCIT_C67264","concentration"
"6","PFUe","Plaque-forming unit equivalents","http://purl.obolibrary.org/obo/NCIT_C67264","concentration"
"7","pg/mg creatinine","Protein/Creatinine [Ratio] in Urine","http://purl.obolibrary.org/obo/NCIT_C85780","concentration"
"8","BCLC Stage","A stage for hepatocellular carcinoma defined according to the Barcelona Clinic Liver Cancer (BCLC) criteria.","http://purl.obolibrary.org/obo/NCIT_C115134","Classification"
"9","Boolean","The type of an expression with two possible values, ""true"" and ""false"".","http://purl.obolibrary.org/obo/NCIT_C45254","Qualitative Concept"
"10","Capsule Dosing Unit","A dosing unit equal to the amount of active ingredient(s) contained in a capsule.","http://purl.obolibrary.org/obo/NCIT_C48480","Quantitative Concept"
"11","Count","Determining the number or amount of something.","http://purl.obolibrary.org/obo/NCIT_C25463","Activity"
"12","Day","The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.","http://purl.obolibrary.org/obo/NCIT_C25301","Temporal Concept"
"13","Donor Information","Information about the donor.","http://purl.obolibrary.org/obo/NCIT_C158611","Conceptual Entity"
"14","Dose","A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.","http://purl.obolibrary.org/obo/NCIT_C25488","Conceptual Entity"
"15","Gender","Characteristics of people that are socially constructed, including norms, behaviors, and roles based on sex. As a social construct, gender varies from society to society and can change over time. (Adapted from WHO.)","http://purl.obolibrary.org/obo/NCIT_C17357","Organism Attribute"
"16","Grade","A position on a scale of intensity or amount or quality.","http://purl.obolibrary.org/obo/NCIT_C48309","Quantitative Concept"
"17","Hour","A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.","http://purl.obolibrary.org/obo/NCIT_C25529","Temporal Concept"
"18","L/sec","Liter per Second: A metric unit of volumetric flow rate defined as the rate at which one liter of matter crosses a given surface during the period of time equal to one second.","http://purl.obolibrary.org/obo/NCIT_C67390","Quantitative Concept"
"19","Month","One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.","http://purl.obolibrary.org/obo/NCIT_C29846","Temporal Concept"
"20","Number of Episodes","A measurement of the total number of events that have occurred.","http://purl.obolibrary.org/obo/NCIT_C124281","Quantitative Concept"
"21","Point","A numeric unit used to quantify a score.","http://purl.obolibrary.org/obo/NCIT_C113499","Quantitative Concept"
"22","Scale","An ordered reference standard used to measure incremental changes.","http://purl.obolibrary.org/obo/NCIT_C25664","Intellectual Product"
"23","Schirmer Test Wetting","A test used to determine the amount of tears collected on a filter paper strip in 5 minutes.","http://purl.obolibrary.org/obo/NCIT_C75526","Finding"
"24","Score","A number or range of numeric values measuring performance, function, quality, or ability.","http://purl.obolibrary.org/obo/NCIT_C25338","Quantitative Concept"
"25","Week","Any period of seven consecutive days.","http://purl.obolibrary.org/obo/NCIT_C29844","Temporal Concept"
"26","Year","A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.","http://purl.obolibrary.org/obo/NCIT_C29848","Temporal Concept"
"27","Yes, No, or Unknown Response","A response or indicator that can have a value of yes, no, or unknown.","http://purl.obolibrary.org/obo/NCIT_C38148","Classification"
"28","mL/min","Milliliter per Minute: A metric unit of volumetric flow rate defined as the rate at which one milliliter of matter crosses a given surface during the period of time equal to one minute.","http://purl.obolibrary.org/obo/NCIT_C64777","Quantitative Concept"
"29","mL/min/(173/100).m2","Milliliter per Minute per 1.73 m2 of Body Surface Area: A unit used in the calculation of a rate of the substance removal from the body (such as creatinine clearance) for the measurement of renal excretory function, with the applied correction factor for body size. It is also used as a dose delivery rate calculation unit equal to the rate, at which one milliliter of medication is delivered during a period of time equal to one minute per 1.73 square meters of body surface area.","http://purl.obolibrary.org/obo/NCIT_C67412","Quantitative Concept"
"30","mL/min/mmHg","Milliliter per Minute per Millimeters of Mercury: A unit for measuring a pulmonary diffusing capacity expressed in units of gas flow rate (in milliliters per minute) per a unit of pressure (in torrs).","http://purl.obolibrary.org/obo/NCIT_C67417","Quantitative Concept"
"31","mmHg","Millimeter of Mercury: A non-SI unit of pressure equal to 133,332 Pa or 1.316E10-3 standard atmosphere. Use of this unit is generally deprecated by ISO and IUPAC.","http://purl.obolibrary.org/obo/NCIT_C49670","Quantitative Concept"
"32","Antibody titer","Antibody titer is a titer of antibody that shows how much antibody an organism has produced that recognizes a particular epitope, expressed as the greatest dilution ratio (or its reciprocal) that still gives a positive result. ELISA is a common means of determining antibody titers.","http://purl.obolibrary.org/obo/VO_0000150","Titer"
"33","C","Celsius","http://purl.obolibrary.org/obo/UO_0000027","temperature"
