"","EXPSAMPLE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"1","ES492796",703258,"OTHER"
"2","ES492797",703258,"OTHER"
"3","ES492798",703258,"OTHER"
"4","ES492799",703258,"OTHER"
"5","ES492800",703258,"OTHER"
"6","ES492801",703258,"OTHER"
"7","ES492802",703258,"OTHER"
"8","ES492803",703258,"OTHER"
"9","ES492804",703258,"OTHER"
"10","ES492805",703258,"OTHER"
"11","ES492806",703258,"OTHER"
"12","ES492807",703258,"OTHER"
"13","ES492808",703258,"OTHER"
"14","ES492809",703258,"OTHER"
"15","ES492810",703258,"OTHER"
"16","ES492811",703258,"OTHER"
"17","ES492812",703258,"OTHER"
"18","ES492813",703258,"OTHER"
"19","ES492814",703258,"OTHER"
"20","ES492815",703258,"OTHER"
"21","ES492816",703258,"OTHER"
"22","ES492817",703258,"OTHER"
"23","ES492818",703258,"OTHER"
"24","ES492819",703258,"OTHER"
"25","ES492820",703258,"OTHER"
"26","ES492821",703258,"OTHER"
"27","ES492822",703258,"OTHER"
"28","ES492823",703258,"OTHER"
"29","ES492824",703258,"OTHER"
"30","ES492825",703258,"OTHER"
"31","ES492826",703258,"OTHER"
"32","ES492827",703258,"OTHER"
"33","ES492828",703258,"OTHER"
"34","ES492829",703258,"OTHER"
"35","ES492830",703258,"OTHER"
"36","ES492831",703258,"OTHER"
"37","ES492832",703258,"OTHER"
"38","ES492833",703258,"OTHER"
"39","ES492834",703258,"OTHER"
"40","ES492835",703258,"OTHER"
"41","ES492836",703258,"OTHER"
"42","ES492837",703258,"OTHER"
"43","ES492838",703258,"OTHER"
"44","ES492839",703258,"OTHER"
"45","ES492840",703258,"OTHER"
"46","ES492841",703258,"OTHER"
"47","ES492842",703258,"OTHER"
"48","ES492843",703258,"OTHER"
"49","ES492844",703258,"OTHER"
"50","ES492845",703258,"OTHER"
"51","ES492846",703258,"OTHER"
"52","ES492847",703258,"OTHER"
"53","ES492848",703258,"OTHER"
"54","ES492849",703258,"OTHER"
"55","ES492850",703258,"OTHER"
"56","ES492851",703258,"OTHER"
"57","ES492852",703258,"OTHER"
"58","ES492853",703258,"OTHER"
"59","ES492854",703258,"OTHER"
"60","ES492855",703258,"OTHER"
"61","ES492856",703258,"OTHER"
"62","ES492857",703258,"OTHER"
"63","ES492858",703258,"OTHER"
"64","ES492859",703258,"OTHER"
"65","ES492860",703258,"OTHER"
"66","ES492861",703258,"OTHER"
"67","ES492862",703258,"OTHER"
"68","ES492863",703258,"OTHER"
"69","ES492864",703258,"OTHER"
"70","ES492865",703258,"OTHER"
"71","ES492866",703258,"OTHER"
"72","ES492867",703258,"OTHER"
"73","ES492868",703258,"OTHER"
"74","ES492869",703258,"OTHER"
"75","ES492870",703258,"OTHER"
"76","ES492871",703258,"OTHER"
"77","ES492872",703258,"OTHER"
"78","ES492873",703258,"OTHER"
"79","ES492874",703258,"OTHER"
"80","ES492875",703258,"OTHER"
"81","ES492876",703258,"OTHER"
"82","ES492877",703258,"OTHER"
"83","ES492878",703258,"OTHER"
"84","ES492879",703258,"OTHER"
"85","ES492880",703258,"OTHER"
"86","ES492881",703258,"OTHER"
"87","ES492882",703258,"OTHER"
"88","ES492883",703258,"OTHER"
"89","ES492884",703258,"OTHER"
"90","ES492885",703258,"OTHER"
"91","ES492886",703258,"OTHER"
"92","ES492887",703258,"OTHER"
"93","ES492888",703258,"OTHER"
"94","ES492889",703258,"OTHER"
"95","ES492890",703258,"OTHER"
"96","ES492891",703258,"OTHER"
"97","ES492892",703258,"OTHER"
"98","ES492893",703258,"OTHER"
"99","ES492894",703258,"OTHER"
"100","ES492895",703258,"OTHER"
"101","ES492896",703258,"OTHER"
"102","ES492897",703258,"OTHER"
"103","ES492898",703258,"OTHER"
"104","ES492899",703258,"OTHER"
"105","ES492900",703258,"OTHER"
"106","ES492901",703258,"OTHER"
"107","ES492902",703258,"OTHER"
"108","ES492903",703258,"OTHER"
"109","ES492904",703258,"OTHER"
"110","ES492905",703258,"OTHER"
"111","ES492906",703258,"OTHER"
"112","ES492907",703258,"OTHER"
"113","ES492908",703258,"OTHER"
"114","ES492909",703258,"OTHER"
"115","ES492910",703258,"OTHER"
"116","ES492911",703258,"OTHER"
"117","ES492912",703258,"OTHER"
"118","ES492913",703258,"OTHER"
"119","ES492914",703258,"OTHER"
"120","ES492915",703258,"OTHER"
"121","ES492916",703258,"OTHER"
"122","ES492917",703258,"OTHER"
"123","ES492918",703258,"OTHER"
"124","ES492919",703258,"OTHER"
"125","ES492920",703258,"OTHER"
"126","ES492921",703258,"OTHER"
"127","ES492922",703258,"OTHER"
"128","ES492923",703258,"OTHER"
"129","ES492924",703258,"OTHER"
"130","ES492925",703258,"OTHER"
"131","ES492926",703258,"OTHER"
"132","ES492927",703258,"OTHER"
"133","ES492928",703258,"OTHER"
"134","ES492929",703258,"OTHER"
"135","ES492930",703258,"OTHER"
"136","ES492931",703258,"OTHER"
"137","ES492932",703258,"OTHER"
"138","ES492933",703258,"OTHER"
"139","ES492934",703258,"OTHER"
"140","ES492935",703258,"OTHER"
"141","ES492936",703258,"OTHER"
"142","ES492937",703258,"OTHER"
"143","ES492938",703258,"OTHER"
"144","ES492939",703258,"OTHER"
"145","ES492940",703258,"OTHER"
"146","ES492941",703258,"OTHER"
"147","ES492942",703258,"OTHER"
"148","ES492943",703258,"OTHER"
"149","ES492944",703258,"OTHER"
"150","ES492945",703258,"OTHER"
"151","ES492946",703258,"OTHER"
"152","ES492947",703258,"OTHER"
"153","ES492948",703258,"OTHER"
"154","ES492949",703258,"OTHER"
"155","ES492950",703258,"OTHER"
"156","ES492951",703258,"OTHER"
"157","ES492952",703258,"OTHER"
"158","ES492953",703258,"OTHER"
"159","ES492954",703258,"OTHER"
"160","ES492955",703258,"OTHER"
"161","ES492956",703258,"OTHER"
"162","ES717657",344527,"VIRUS NEUTRALIZATION"
"163","ES717658",344527,"VIRUS NEUTRALIZATION"
"164","ES717659",344527,"VIRUS NEUTRALIZATION"
"165","ES717660",344527,"VIRUS NEUTRALIZATION"
"166","ES717661",344527,"VIRUS NEUTRALIZATION"
"167","ES717662",344527,"VIRUS NEUTRALIZATION"
"168","ES717663",344527,"VIRUS NEUTRALIZATION"
"169","ES717664",344527,"VIRUS NEUTRALIZATION"
"170","ES717665",344527,"VIRUS NEUTRALIZATION"
"171","ES717666",344527,"VIRUS NEUTRALIZATION"
"172","ES717667",344527,"VIRUS NEUTRALIZATION"
"173","ES717668",344527,"VIRUS NEUTRALIZATION"
"174","ES717669",344527,"VIRUS NEUTRALIZATION"
"175","ES717670",344527,"VIRUS NEUTRALIZATION"
"176","ES717671",344527,"VIRUS NEUTRALIZATION"
"177","ES717672",344527,"VIRUS NEUTRALIZATION"
"178","ES717673",344527,"VIRUS NEUTRALIZATION"
"179","ES717674",344527,"VIRUS NEUTRALIZATION"
"180","ES717675",344527,"VIRUS NEUTRALIZATION"
"181","ES717676",344527,"VIRUS NEUTRALIZATION"
"182","ES717677",344527,"VIRUS NEUTRALIZATION"
"183","ES717678",344527,"VIRUS NEUTRALIZATION"
"184","ES717679",344527,"VIRUS NEUTRALIZATION"
"185","ES717680",344527,"VIRUS NEUTRALIZATION"
"186","ES717681",344527,"VIRUS NEUTRALIZATION"
"187","ES717682",344527,"VIRUS NEUTRALIZATION"
"188","ES717683",344527,"VIRUS NEUTRALIZATION"
"189","ES717684",344527,"VIRUS NEUTRALIZATION"
"190","ES717685",344527,"VIRUS NEUTRALIZATION"
"191","ES717686",344527,"VIRUS NEUTRALIZATION"
"192","ES717687",344527,"VIRUS NEUTRALIZATION"
"193","ES717688",344527,"VIRUS NEUTRALIZATION"
"194","ES717689",344527,"VIRUS NEUTRALIZATION"
"195","ES717690",344527,"VIRUS NEUTRALIZATION"
"196","ES717691",344527,"VIRUS NEUTRALIZATION"
"197","ES717692",344527,"VIRUS NEUTRALIZATION"
"198","ES717693",344527,"VIRUS NEUTRALIZATION"
"199","ES717694",344527,"VIRUS NEUTRALIZATION"
"200","ES717695",344527,"VIRUS NEUTRALIZATION"
"201","ES717696",344527,"VIRUS NEUTRALIZATION"
"202","ES717697",344527,"VIRUS NEUTRALIZATION"
"203","ES717698",344527,"VIRUS NEUTRALIZATION"
"204","ES717699",344527,"VIRUS NEUTRALIZATION"
"205","ES717700",344527,"VIRUS NEUTRALIZATION"
"206","ES717701",344527,"VIRUS NEUTRALIZATION"
"207","ES717702",344527,"VIRUS NEUTRALIZATION"
"208","ES717703",344527,"VIRUS NEUTRALIZATION"
"209","ES717704",344527,"VIRUS NEUTRALIZATION"
"210","ES717705",344527,"VIRUS NEUTRALIZATION"
"211","ES717706",344527,"VIRUS NEUTRALIZATION"
"212","ES717707",344527,"VIRUS NEUTRALIZATION"
"213","ES717708",344527,"VIRUS NEUTRALIZATION"
"214","ES717709",344527,"VIRUS NEUTRALIZATION"
"215","ES717710",344527,"VIRUS NEUTRALIZATION"
"216","ES717711",344527,"VIRUS NEUTRALIZATION"
"217","ES717712",344527,"VIRUS NEUTRALIZATION"
"218","ES717713",344527,"VIRUS NEUTRALIZATION"
"219","ES717714",344527,"VIRUS NEUTRALIZATION"
"220","ES717715",344527,"VIRUS NEUTRALIZATION"
"221","ES717716",344527,"VIRUS NEUTRALIZATION"
"222","ES717717",344527,"VIRUS NEUTRALIZATION"
"223","ES717718",344527,"VIRUS NEUTRALIZATION"
"224","ES717719",344527,"VIRUS NEUTRALIZATION"
"225","ES717720",344527,"VIRUS NEUTRALIZATION"
"226","ES717721",344527,"VIRUS NEUTRALIZATION"
"227","ES717722",344527,"VIRUS NEUTRALIZATION"
"228","ES717723",344527,"VIRUS NEUTRALIZATION"
"229","ES717724",344527,"VIRUS NEUTRALIZATION"
"230","ES717725",344527,"VIRUS NEUTRALIZATION"
"231","ES717726",344527,"VIRUS NEUTRALIZATION"
"232","ES717727",344527,"VIRUS NEUTRALIZATION"
"233","ES717728",344527,"VIRUS NEUTRALIZATION"
"234","ES717729",344527,"VIRUS NEUTRALIZATION"
"235","ES717730",344527,"VIRUS NEUTRALIZATION"
"236","ES717731",344527,"VIRUS NEUTRALIZATION"
"237","ES717732",344527,"VIRUS NEUTRALIZATION"
"238","ES717733",344527,"VIRUS NEUTRALIZATION"
"239","ES717734",344527,"VIRUS NEUTRALIZATION"
"240","ES717735",344527,"VIRUS NEUTRALIZATION"
"241","ES717736",344527,"VIRUS NEUTRALIZATION"
"242","ES717737",344527,"VIRUS NEUTRALIZATION"
"243","ES717738",344527,"VIRUS NEUTRALIZATION"
"244","ES717739",344527,"VIRUS NEUTRALIZATION"
"245","ES717740",344527,"VIRUS NEUTRALIZATION"
"246","ES717741",344527,"VIRUS NEUTRALIZATION"
"247","ES717742",344527,"VIRUS NEUTRALIZATION"
"248","ES717743",344527,"VIRUS NEUTRALIZATION"
"249","ES717744",344527,"VIRUS NEUTRALIZATION"
"250","ES717745",344527,"VIRUS NEUTRALIZATION"
"251","ES717776",703261,"PUBLIC REPOSITORY"
"252","ES717777",703261,"PUBLIC REPOSITORY"
"253","ES717778",703261,"PUBLIC REPOSITORY"
"254","ES717779",703261,"PUBLIC REPOSITORY"
"255","ES717780",703261,"PUBLIC REPOSITORY"
"256","ES717781",703261,"PUBLIC REPOSITORY"
"257","ES717782",703261,"PUBLIC REPOSITORY"
"258","ES717783",703261,"PUBLIC REPOSITORY"
"259","ES717784",703261,"PUBLIC REPOSITORY"
"260","ES717785",703261,"PUBLIC REPOSITORY"
"261","ES717786",703261,"PUBLIC REPOSITORY"
"262","ES717787",703261,"PUBLIC REPOSITORY"
"263","ES717788",703261,"PUBLIC REPOSITORY"
"264","ES717789",703261,"PUBLIC REPOSITORY"
"265","ES717790",703261,"PUBLIC REPOSITORY"
"266","ES717791",703261,"PUBLIC REPOSITORY"
"267","ES717792",703261,"PUBLIC REPOSITORY"
"268","ES717793",703261,"PUBLIC REPOSITORY"
"269","ES717794",703261,"PUBLIC REPOSITORY"
"270","ES717795",703261,"PUBLIC REPOSITORY"
"271","ES717796",703261,"PUBLIC REPOSITORY"
"272","ES717797",703261,"PUBLIC REPOSITORY"
"273","ES717798",703261,"PUBLIC REPOSITORY"
"274","ES717799",703261,"PUBLIC REPOSITORY"
"275","ES717800",703261,"PUBLIC REPOSITORY"
"276","ES717801",703261,"PUBLIC REPOSITORY"
"277","ES717802",703261,"PUBLIC REPOSITORY"
"278","ES717803",703261,"PUBLIC REPOSITORY"
"279","ES717804",703261,"PUBLIC REPOSITORY"
"280","ES717805",703261,"PUBLIC REPOSITORY"
"281","ES717806",703261,"PUBLIC REPOSITORY"
"282","ES717807",703261,"PUBLIC REPOSITORY"
"283","ES717808",703261,"PUBLIC REPOSITORY"
"284","ES717809",703261,"PUBLIC REPOSITORY"
"285","ES717810",703261,"PUBLIC REPOSITORY"
"286","ES717811",703261,"PUBLIC REPOSITORY"
"287","ES717812",703261,"PUBLIC REPOSITORY"
"288","ES717813",703261,"PUBLIC REPOSITORY"
"289","ES717814",703261,"PUBLIC REPOSITORY"
"290","ES717815",703261,"PUBLIC REPOSITORY"
"291","ES717816",703261,"PUBLIC REPOSITORY"
"292","ES717817",703261,"PUBLIC REPOSITORY"
"293","ES717818",703261,"PUBLIC REPOSITORY"
"294","ES717819",703261,"PUBLIC REPOSITORY"
"295","ES717820",703261,"PUBLIC REPOSITORY"
"296","ES717821",703261,"PUBLIC REPOSITORY"
"297","ES717822",703261,"PUBLIC REPOSITORY"
"298","ES717823",703261,"PUBLIC REPOSITORY"
"299","ES717824",703261,"PUBLIC REPOSITORY"
"300","ES717825",703261,"PUBLIC REPOSITORY"
"301","ES717826",703261,"PUBLIC REPOSITORY"
"302","ES717827",703261,"PUBLIC REPOSITORY"
"303","ES717828",703261,"PUBLIC REPOSITORY"
"304","ES717829",703261,"PUBLIC REPOSITORY"
"305","ES717830",703261,"PUBLIC REPOSITORY"
"306","ES717831",703261,"PUBLIC REPOSITORY"
"307","ES717832",703261,"PUBLIC REPOSITORY"
"308","ES717833",703261,"PUBLIC REPOSITORY"
"309","ES717834",703261,"PUBLIC REPOSITORY"
"310","ES717835",703261,"PUBLIC REPOSITORY"
"311","ES717836",703261,"PUBLIC REPOSITORY"
"312","ES717837",703261,"PUBLIC REPOSITORY"
"313","ES717838",703261,"PUBLIC REPOSITORY"
"314","ES717839",703261,"PUBLIC REPOSITORY"
"315","ES717840",703261,"PUBLIC REPOSITORY"
"316","ES717841",703261,"PUBLIC REPOSITORY"
"317","ES717842",703261,"PUBLIC REPOSITORY"
"318","ES717843",703261,"PUBLIC REPOSITORY"
"319","ES717844",703261,"PUBLIC REPOSITORY"
"320","ES717845",703261,"PUBLIC REPOSITORY"
"321","ES717846",703261,"PUBLIC REPOSITORY"
"322","ES717847",703261,"PUBLIC REPOSITORY"
"323","ES717848",703261,"PUBLIC REPOSITORY"
"324","ES717849",703261,"PUBLIC REPOSITORY"
"325","ES717850",703261,"PUBLIC REPOSITORY"
"326","ES717851",703261,"PUBLIC REPOSITORY"
"327","ES717852",703261,"PUBLIC REPOSITORY"
"328","ES717853",703261,"PUBLIC REPOSITORY"
"329","ES717854",703261,"PUBLIC REPOSITORY"
