"","EXPSAMPLE_ACCESSION","REAGENT_ACCESSION"
"1","ES1276792","ESR24332"
"2","ES1276793","ESR24332"
"3","ES1276794","ESR24332"
"4","ES1276795","ESR24332"
"5","ES1276796","ESR24332"
"6","ES1276797","ESR24332"
"7","ES1276798","ESR24332"
"8","ES1276799","ESR24332"
"9","ES1276800","ESR24332"
"10","ES1276801","ESR24332"
"11","ES1276802","ESR24332"
"12","ES1276803","ESR24332"
"13","ES1276804","ESR24332"
"14","ES1276805","ESR24332"
"15","ES1276806","ESR24332"
"16","ES1276807","ESR24332"
"17","ES1276808","ESR24332"
"18","ES1276809","ESR24332"
"19","ES1276810","ESR24332"
"20","ES1276811","ESR24332"
"21","ES1276812","ESR24332"
"22","ES1276813","ESR24332"
"23","ES1276814","ESR24332"
"24","ES1276815","ESR24332"
"25","ES1276816","ESR24332"
"26","ES1276817","ESR24332"
"27","ES1276818","ESR24332"
"28","ES492796","ESR8812"
"29","ES492797","ESR8812"
"30","ES492798","ESR8812"
"31","ES492799","ESR8812"
"32","ES492800","ESR8812"
"33","ES492801","ESR8812"
"34","ES492802","ESR8812"
"35","ES492803","ESR8812"
"36","ES492804","ESR8812"
"37","ES492805","ESR8812"
"38","ES492806","ESR8812"
"39","ES492807","ESR8812"
"40","ES492808","ESR8812"
"41","ES492809","ESR8812"
"42","ES492810","ESR8812"
"43","ES492811","ESR8812"
"44","ES492812","ESR8812"
"45","ES492813","ESR8812"
"46","ES492814","ESR8812"
"47","ES492815","ESR8812"
"48","ES492816","ESR8812"
"49","ES492817","ESR8812"
"50","ES492818","ESR8812"
"51","ES492819","ESR8812"
"52","ES492820","ESR8812"
"53","ES492821","ESR8812"
"54","ES492822","ESR8812"
"55","ES492823","ESR8812"
"56","ES492824","ESR8812"
"57","ES492825","ESR8812"
"58","ES492826","ESR8812"
"59","ES492827","ESR8812"
"60","ES492828","ESR8812"
"61","ES492829","ESR8812"
"62","ES492830","ESR8812"
"63","ES492831","ESR8812"
"64","ES492832","ESR8812"
"65","ES492833","ESR8812"
"66","ES492834","ESR8812"
"67","ES492835","ESR8812"
"68","ES492836","ESR8812"
"69","ES492837","ESR8812"
"70","ES492838","ESR8812"
"71","ES492839","ESR8812"
"72","ES492840","ESR8812"
"73","ES492841","ESR8812"
"74","ES492842","ESR8812"
"75","ES492843","ESR8812"
"76","ES492844","ESR8812"
"77","ES492845","ESR8812"
"78","ES492846","ESR8812"
"79","ES492847","ESR8812"
"80","ES492848","ESR8812"
"81","ES492849","ESR8812"
"82","ES492850","ESR8812"
"83","ES492851","ESR8812"
"84","ES492852","ESR8812"
"85","ES492853","ESR8812"
"86","ES492854","ESR8812"
"87","ES492855","ESR8812"
"88","ES492856","ESR8812"
"89","ES492857","ESR8812"
"90","ES492858","ESR8812"
"91","ES492859","ESR8812"
"92","ES492860","ESR8812"
"93","ES492861","ESR8812"
"94","ES492862","ESR8812"
"95","ES492863","ESR8812"
"96","ES492864","ESR8812"
"97","ES492865","ESR8812"
"98","ES492866","ESR8812"
"99","ES492867","ESR8812"
"100","ES492868","ESR8812"
"101","ES492869","ESR8812"
"102","ES492870","ESR8812"
"103","ES492871","ESR8812"
"104","ES492872","ESR8812"
"105","ES492873","ESR8812"
"106","ES492874","ESR8812"
"107","ES492875","ESR8812"
"108","ES492876","ESR8812"
"109","ES492877","ESR8812"
"110","ES492878","ESR8812"
"111","ES492879","ESR8812"
"112","ES492880","ESR8812"
"113","ES492881","ESR8812"
"114","ES492882","ESR8812"
"115","ES492883","ESR8812"
"116","ES492884","ESR8812"
"117","ES492885","ESR8812"
"118","ES492886","ESR8812"
"119","ES492887","ESR8812"
"120","ES492888","ESR8812"
"121","ES492889","ESR8812"
"122","ES492890","ESR8812"
"123","ES492891","ESR8812"
"124","ES492892","ESR8812"
"125","ES492893","ESR8812"
"126","ES492894","ESR8812"
"127","ES492895","ESR8812"
"128","ES492896","ESR8812"
"129","ES492897","ESR8812"
"130","ES492898","ESR8812"
"131","ES492899","ESR8812"
"132","ES492900","ESR8812"
"133","ES492901","ESR8812"
"134","ES492902","ESR8812"
"135","ES492903","ESR8812"
"136","ES492904","ESR8812"
"137","ES492905","ESR8812"
"138","ES492906","ESR8812"
"139","ES492907","ESR8812"
"140","ES492908","ESR8812"
"141","ES492909","ESR8812"
"142","ES492910","ESR8812"
"143","ES492911","ESR8812"
"144","ES492912","ESR8812"
"145","ES492913","ESR8812"
"146","ES492914","ESR8812"
"147","ES492915","ESR8812"
"148","ES492916","ESR8812"
"149","ES492917","ESR8812"
"150","ES492918","ESR8812"
"151","ES492919","ESR8812"
"152","ES492920","ESR8812"
"153","ES492921","ESR8812"
"154","ES492922","ESR8812"
