"","EXPSAMPLE_ACCESSION","ASSAY_GROUP_ID","ASSAY_ID","DILUTION_FACTOR","PLATE_TYPE"
"1","ES735932",NA,"LUMFLU1",4,NA
"2","ES735933",NA,"LUMFLU1",4,NA
"3","ES735934",NA,"LUMFLU1",4,NA
"4","ES735935",NA,"LUMFLU1",4,NA
"5","ES735936",NA,"LUMFLU1",4,NA
"6","ES735937",NA,"LUMFLU1",4,NA
"7","ES735938",NA,"LUMFLU1",4,NA
"8","ES735939",NA,"LUMFLU1",4,NA
"9","ES735940",NA,"LUMFLU1",4,NA
"10","ES735941",NA,"LUMFLU1",4,NA
"11","ES735942",NA,"LUMFLU1",4,NA
"12","ES735943",NA,"LUMFLU1",4,NA
"13","ES735944",NA,"LUMFLU1",4,NA
"14","ES735945",NA,"LUMFLU1",4,NA
"15","ES735946",NA,"LUMFLU1",4,NA
"16","ES735947",NA,"LUMFLU1",4,NA
"17","ES735948",NA,"LUMFLU1",4,NA
"18","ES735949",NA,"LUMFLU1",4,NA
"19","ES735950",NA,"LUMFLU1",4,NA
"20","ES735951",NA,"LUMFLU1",4,NA
"21","ES735952",NA,"LUMFLU1",4,NA
"22","ES735953",NA,"LUMFLU1",4,NA
"23","ES735954",NA,"LUMFLU1",4,NA
"24","ES735955",NA,"LUMFLU1",4,NA
"25","ES735956",NA,"LUMFLU1",4,NA
"26","ES735957",NA,"LUMFLU1",4,NA
"27","ES735958",NA,"LUMFLU1",4,NA
"28","ES735959",NA,"LUMFLU1",4,NA
"29","ES735960",NA,"LUMFLU1",4,NA
"30","ES735961",NA,"LUMFLU1",4,NA
"31","ES735962",NA,"LUMFLU1",4,NA
"32","ES735963",NA,"LUMFLU1",4,NA
"33","ES735964",NA,"LUMFLU1",4,NA
"34","ES735965",NA,"LUMFLU1",4,NA
"35","ES735966",NA,"LUMFLU1",4,NA
"36","ES735967",NA,"LUMFLU1",4,NA
"37","ES735968",NA,"LUMFLU1",4,NA
"38","ES735969",NA,"LUMFLU1",4,NA
