"","RESULT_ID","ANALYTE_ACCESSION","ANALYTE_PREFERRED","ANALYTE_REPORTED","ARM_ACCESSION","ASSAY_GROUP_ID","ASSAY_ID","BIOSAMPLE_ACCESSION","COMMENTS","CONCENTRATION_UNIT_REPORTED","CONCENTRATION_UNIT_PREFERRED","CONCENTRATION_VALUE_REPORTED","CONCENTRATION_VALUE_PREFERRED","EXPERIMENT_ACCESSION","MFI","MFI_COORDINATE","REPOSITORY_ACCESSION","REPOSITORY_NAME","SOURCE_ACCESSION","SOURCE_TYPE","STUDY_ACCESSION","STUDY_TIME_COLLECTED","STUDY_TIME_COLLECTED_UNIT","SUBJECT_ACCESSION","WORKSPACE_ID"
"1",55,"ANA81","EGF","EGF","","LUMFLU1","","",NA,"pg/ml","pg/ml","106.46",106.46,"EXP11771",395,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"2",56,"ANA3","Eotaxin","Eotaxin","","LUMFLU1","","",NA,"pg/ml","pg/ml","55.63",55.63,"EXP11771",549,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"3",57,"ANA88","FGFB","FGFB","","LUMFLU1","","",NA,"pg/ml","pg/ml","71.97",71.97,"EXP11771",94,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"4",58,"ANA90","FLT3LG","FLT3LG","","LUMFLU1","","",NA,"pg/ml","pg/ml","90.5",90.5,"EXP11771",190,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"5",59,"ANA58","FRACTALKINE","FRACTALKINE","","LUMFLU1","","",NA,"pg/ml","pg/ml","106.71",106.71,"EXP11771",19.5,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"6",60,"ANA56","CSF3","CSF3","","LUMFLU1","","",NA,"pg/ml","pg/ml","123.72",123.72,"EXP11771",133,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"7",61,"ANA53","GMCSF","GMCSF","","LUMFLU1","","",NA,"pg/ml","pg/ml","134.07",134.07,"EXP11771",183.5,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"8",62,"ANA60","GRO","GRO","","LUMFLU1","","",NA,"pg/ml","pg/ml","98.04",98.04,"EXP11771",1025,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"9",63,"ANA99","IFNA2","IFNA2","","LUMFLU1","","",NA,"pg/ml","pg/ml","78.22",78.22,"EXP11771",34,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
"10",64,"ANA110","IFNG","IFNG","","LUMFLU1","","",NA,"pg/ml","pg/ml","95.1",95.1,"EXP11771",448,"G11",NA,NA,"CS10","CONTROL SAMPLE","SDY180",NA,"","",2799
