"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"1","ES768711",NA,"EXP13577",NA,"HAI","Parsed",2799
"2","ES768712",NA,"EXP13577",NA,"HAI","Parsed",2799
"3","ES768713",NA,"EXP13577",NA,"HAI","Parsed",2799
"4","ES768714",NA,"EXP13577",NA,"HAI","Parsed",2799
"5","ES768715",NA,"EXP13577",NA,"HAI","Parsed",2799
"6","ES768716",NA,"EXP13577",NA,"HAI","Parsed",2799
"7","ES768717",NA,"EXP13577",NA,"HAI","Parsed",2799
"8","ES768718",NA,"EXP13577",NA,"HAI","Parsed",2799
"9","ES768719",NA,"EXP13577",NA,"HAI","Parsed",2799
"10","ES768720",NA,"EXP13577",NA,"HAI","Parsed",2799
"11","ES768721",NA,"EXP13577",NA,"HAI","Parsed",2799
"12","ES768722",NA,"EXP13577",NA,"HAI","Parsed",2799
"13","ES768723",NA,"EXP13577",NA,"HAI","Parsed",2799
"14","ES768724",NA,"EXP13577",NA,"HAI","Parsed",2799
"15","ES768725",NA,"EXP13577",NA,"HAI","Parsed",2799
"16","ES768726",NA,"EXP13577",NA,"HAI","Parsed",2799
"17","ES768727",NA,"EXP13577",NA,"HAI","Parsed",2799
"18","ES768728",NA,"EXP13577",NA,"HAI","Parsed",2799
"19","ES768729",NA,"EXP13577",NA,"HAI","Parsed",2799
"20","ES768730",NA,"EXP13577",NA,"HAI","Parsed",2799
"21","ES768731",NA,"EXP13577",NA,"HAI","Parsed",2799
"22","ES768732",NA,"EXP13577",NA,"HAI","Parsed",2799
"23","ES768733",NA,"EXP13577",NA,"HAI","Parsed",2799
"24","ES768734",NA,"EXP13577",NA,"HAI","Parsed",2799
"25","ES768735",NA,"EXP13577",NA,"HAI","Parsed",2799
"26","ES768736",NA,"EXP13577",NA,"HAI","Parsed",2799
"27","ES768737",NA,"EXP13577",NA,"HAI","Parsed",2799
"28","ES768738",NA,"EXP13577",NA,"HAI","Parsed",2799
"29","ES768739",NA,"EXP13577",NA,"HAI","Parsed",2799
"30","ES768740",NA,"EXP13577",NA,"HAI","Parsed",2799
"31","ES768741",NA,"EXP13577",NA,"HAI","Parsed",2799
"32","ES768742",NA,"EXP13577",NA,"HAI","Parsed",2799
"33","ES768743",NA,"EXP13577",NA,"HAI","Parsed",2799
