"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"1","BS709301","ES768711"
"2","BS709311","ES768712"
"3","BS709337","ES768713"
"4","BS709347","ES768714"
"5","BS709357","ES768715"
"6","BS709367","ES768716"
"7","BS709377","ES768717"
"8","BS709387","ES768718"
"9","BS709409","ES768719"
"10","BS709419","ES768720"
"11","BS709429","ES768721"
"12","BS709439","ES768722"
"13","BS709449","ES768723"
"14","BS709459","ES768724"
"15","BS709469","ES768725"
"16","BS709479","ES768726"
"17","BS709489","ES768727"
"18","BS709499","ES768728"
"19","BS709505","ES768729"
"20","BS709515","ES768730"
"21","BS709525","ES768731"
"22","BS709535","ES768732"
"23","BS709545","ES768733"
"24","BS709555","ES768734"
"25","BS709565","ES768735"
"26","BS709575","ES768736"
"27","BS709585","ES768737"
"28","BS709595","ES768738"
"29","BS709603","ES768739"
"30","BS709613","ES768740"
"31","BS709623","ES768741"
"32","BS709633","ES768742"
"33","BS709643","ES768743"
"34","BS709653","ES768744"
"35","BS709663","ES768745"
"36","BS709673","ES768746"
"37","BS709699","ES768747"
"38","BS709709","ES768748"
"39","BS709719","ES768749"
"40","BS709729","ES768750"
"41","BS709735","ES768751"
"42","BS709745","ES768752"
"43","BS709755","ES768753"
"44","BS709765","ES768754"
"45","BS709790","ES768755"
"46","BS709800","ES768756"
"47","BS709808","ES768757"
"48","BS709818","ES768758"
"49","BS709827","ES768759"
"50","BS709837","ES768760"
"51","BS709846","ES768761"
"52","BS709856","ES768762"
"53","BS709863","ES768763"
"54","BS709873","ES768764"
"55","BS709891","ES768765"
"56","BS709901","ES768766"
"57","BS709913","ES768767"
"58","BS709923","ES768768"
"59","BS709932","ES768769"
"60","BS709942","ES768770"
"61","BS709951","ES768771"
"62","BS709961","ES768772"
"63","BS709969","ES768773"
"64","BS709979","ES768774"
"65","BS709987","ES768775"
"66","BS709997","ES768776"
"67","BS710006","ES768777"
"68","BS710016","ES768778"
"69","BS710026","ES768779"
"70","BS710036","ES768780"
"71","BS710042","ES768781"
"72","BS710052","ES768782"
"73","BS710060","ES768783"
"74","BS710070","ES768784"
"75","BS709303","ES768785"
"76","BS709313","ES768786"
"77","BS709339","ES768787"
"78","BS709349","ES768788"
"79","BS709359","ES768789"
"80","BS709369","ES768790"
"81","BS709379","ES768791"
"82","BS709389","ES768792"
"83","BS709411","ES768793"
"84","BS709421","ES768794"
"85","BS709431","ES768795"
"86","BS709441","ES768796"
"87","BS709451","ES768797"
"88","BS709461","ES768798"
"89","BS709471","ES768799"
"90","BS709481","ES768800"
"91","BS709491","ES768801"
"92","BS709501","ES768802"
"93","BS709507","ES768803"
"94","BS709517","ES768804"
"95","BS709527","ES768805"
"96","BS709537","ES768806"
"97","BS709547","ES768807"
"98","BS709557","ES768808"
"99","BS709567","ES768809"
"100","BS709577","ES768810"
"101","BS709587","ES768811"
"102","BS709597","ES768812"
"103","BS709605","ES768813"
"104","BS709615","ES768814"
"105","BS709625","ES768815"
"106","BS709635","ES768816"
"107","BS709645","ES768817"
"108","BS709655","ES768818"
"109","BS709665","ES768819"
"110","BS709675","ES768820"
"111","BS709701","ES768821"
"112","BS709711","ES768822"
"113","BS709721","ES768823"
"114","BS709731","ES768824"
"115","BS709737","ES768825"
"116","BS709747","ES768826"
"117","BS709757","ES768827"
"118","BS709767","ES768828"
"119","BS709792","ES768829"
"120","BS709802","ES768830"
"121","BS709810","ES768831"
"122","BS709820","ES768832"
"123","BS709829","ES768833"
"124","BS709839","ES768834"
"125","BS709848","ES768835"
"126","BS709858","ES768836"
"127","BS709865","ES768837"
"128","BS709875","ES768838"
"129","BS709893","ES768839"
"130","BS709903","ES768840"
"131","BS709915","ES768841"
"132","BS709925","ES768842"
"133","BS709934","ES768843"
"134","BS709944","ES768844"
"135","BS709953","ES768845"
"136","BS709963","ES768846"
"137","BS709971","ES768847"
"138","BS709981","ES768848"
"139","BS709989","ES768849"
"140","BS709999","ES768850"
"141","BS710008","ES768851"
"142","BS710018","ES768852"
"143","BS710028","ES768853"
"144","BS710038","ES768854"
"145","BS710044","ES768855"
"146","BS710054","ES768856"
"147","BS710062","ES768857"
"148","BS710072","ES768858"
"149","BS709299","ES778317"
"150","BS709302","ES778318"
"151","BS709305","ES778319"
"152","BS709307","ES778320"
"153","BS709309","ES778321"
"154","BS709312","ES778322"
"155","BS709335","ES778323"
"156","BS709338","ES778324"
"157","BS709341","ES778325"
"158","BS709343","ES778326"
"159","BS709345","ES778327"
"160","BS709348","ES778328"
"161","BS709355","ES778329"
"162","BS709358","ES778330"
"163","BS709361","ES778331"
"164","BS709363","ES778332"
"165","BS709365","ES778333"
"166","BS709368","ES778334"
"167","BS709375","ES778335"
"168","BS709378","ES778336"
"169","BS709381","ES778337"
"170","BS709383","ES778338"
"171","BS709385","ES778339"
"172","BS709388","ES778340"
"173","BS709407","ES778341"
"174","BS709410","ES778342"
"175","BS709413","ES778343"
"176","BS709415","ES778344"
"177","BS709417","ES778345"
"178","BS709420","ES778346"
"179","BS709427","ES778347"
"180","BS709430","ES778348"
"181","BS709433","ES778349"
"182","BS709435","ES778350"
"183","BS709437","ES778351"
"184","BS709440","ES778352"
"185","BS709447","ES778353"
"186","BS709450","ES778354"
"187","BS709453","ES778355"
"188","BS709455","ES778356"
"189","BS709457","ES778357"
"190","BS709460","ES778358"
"191","BS709467","ES778359"
"192","BS709470","ES778360"
"193","BS709473","ES778361"
"194","BS709475","ES778362"
"195","BS709477","ES778363"
"196","BS709480","ES778364"
"197","BS709487","ES778365"
"198","BS709490","ES778366"
"199","BS709493","ES778367"
"200","BS709495","ES778368"
"201","BS709497","ES778369"
"202","BS709500","ES778370"
"203","BS709503","ES778371"
"204","BS709506","ES778372"
"205","BS709509","ES778373"
"206","BS709511","ES778374"
"207","BS709513","ES778375"
"208","BS709516","ES778376"
"209","BS709523","ES778377"
"210","BS709526","ES778378"
"211","BS709529","ES778379"
"212","BS709531","ES778380"
"213","BS709533","ES778381"
"214","BS709536","ES778382"
"215","BS709543","ES778383"
"216","BS709546","ES778384"
"217","BS709549","ES778385"
"218","BS709551","ES778386"
"219","BS709553","ES778387"
"220","BS709556","ES778388"
"221","BS709563","ES778389"
"222","BS709566","ES778390"
"223","BS709569","ES778391"
"224","BS709571","ES778392"
"225","BS709573","ES778393"
"226","BS709576","ES778394"
"227","BS709583","ES778395"
"228","BS709589","ES778396"
"229","BS709591","ES778397"
"230","BS709593","ES778398"
"231","BS709596","ES778399"
"232","BS709601","ES778400"
"233","BS709604","ES778401"
"234","BS709607","ES778402"
"235","BS709609","ES778403"
"236","BS709611","ES778404"
"237","BS709614","ES778405"
"238","BS709621","ES778406"
"239","BS709624","ES778407"
"240","BS709627","ES778408"
"241","BS709629","ES778409"
"242","BS709631","ES778410"
"243","BS709634","ES778411"
"244","BS709641","ES778412"
"245","BS709644","ES778413"
"246","BS709647","ES778414"
"247","BS709649","ES778415"
"248","BS709651","ES778416"
"249","BS709654","ES778417"
"250","BS709661","ES778418"
"251","BS709664","ES778419"
"252","BS709667","ES778420"
"253","BS709669","ES778421"
"254","BS709671","ES778422"
"255","BS709674","ES778423"
"256","BS709697","ES778424"
"257","BS709700","ES778425"
"258","BS709703","ES778426"
"259","BS709705","ES778427"
"260","BS709707","ES778428"
"261","BS709710","ES778429"
"262","BS709717","ES778430"
"263","BS709720","ES778431"
"264","BS709723","ES778432"
"265","BS709725","ES778433"
"266","BS709727","ES778434"
"267","BS709730","ES778435"
"268","BS709733","ES778436"
"269","BS709736","ES778437"
"270","BS709739","ES778438"
"271","BS709741","ES778439"
"272","BS709743","ES778440"
"273","BS709746","ES778441"
"274","BS709753","ES778442"
"275","BS709756","ES778443"
"276","BS709759","ES778444"
"277","BS709761","ES778445"
"278","BS709763","ES778446"
"279","BS709766","ES778447"
"280","BS709788","ES778448"
"281","BS709791","ES778449"
"282","BS709794","ES778450"
"283","BS709796","ES778451"
"284","BS709798","ES778452"
"285","BS709801","ES778453"
"286","BS709806","ES778454"
"287","BS709809","ES778455"
"288","BS709812","ES778456"
"289","BS709814","ES778457"
"290","BS709816","ES778458"
"291","BS709819","ES778459"
"292","BS709825","ES778460"
"293","BS709828","ES778461"
"294","BS709831","ES778462"
"295","BS709833","ES778463"
"296","BS709835","ES778464"
"297","BS709838","ES778465"
"298","BS709844","ES778466"
"299","BS709847","ES778467"
"300","BS709850","ES778468"
"301","BS709852","ES778469"
"302","BS709854","ES778470"
"303","BS709857","ES778471"
"304","BS709861","ES778472"
"305","BS709864","ES778473"
"306","BS709867","ES778474"
"307","BS709869","ES778475"
"308","BS709871","ES778476"
"309","BS709874","ES778477"
"310","BS709889","ES778478"
"311","BS709892","ES778479"
"312","BS709895","ES778480"
"313","BS709897","ES778481"
"314","BS709899","ES778482"
"315","BS709902","ES778483"
"316","BS709911","ES778484"
"317","BS709914","ES778485"
"318","BS709917","ES778486"
"319","BS709919","ES778487"
"320","BS709921","ES778488"
"321","BS709924","ES778489"
"322","BS709930","ES778490"
"323","BS709933","ES778491"
"324","BS709936","ES778492"
"325","BS709938","ES778493"
"326","BS709940","ES778494"
"327","BS709943","ES778495"
"328","BS709949","ES778496"
"329","BS709952","ES778497"
"330","BS709955","ES778498"
"331","BS709957","ES778499"
"332","BS709962","ES778500"
"333","BS709967","ES778501"
"334","BS709970","ES778502"
"335","BS709973","ES778503"
"336","BS709975","ES778504"
"337","BS709977","ES778505"
"338","BS709980","ES778506"
"339","BS709985","ES778507"
"340","BS709988","ES778508"
"341","BS709991","ES778509"
"342","BS709993","ES778510"
"343","BS709995","ES778511"
"344","BS709998","ES778512"
"345","BS710004","ES778513"
"346","BS710007","ES778514"
"347","BS710010","ES778515"
"348","BS710012","ES778516"
"349","BS710014","ES778517"
"350","BS710017","ES778518"
"351","BS710024","ES778519"
"352","BS710027","ES778520"
"353","BS710030","ES778521"
"354","BS710032","ES778522"
"355","BS710034","ES778523"
"356","BS710037","ES778524"
"357","BS710040","ES778525"
"358","BS710043","ES778526"
"359","BS710046","ES778527"
"360","BS710048","ES778528"
"361","BS710050","ES778529"
"362","BS710053","ES778530"
"363","BS710058","ES778531"
"364","BS710061","ES778532"
