"","REAGENT_ACCESSION","ANALYTE_ACCESSION","ANALYTE_PREFERRED","ANALYTE_REPORTED","ANTIBODY_REGISTRY_ID","CATALOG_NUMBER","CLONE_NAME","CONTACT","DESCRIPTION","IS_SET","LOT_NUMBER","MANUFACTURER","NAME","REPORTER_NAME","TYPE","WEBLINK","WORKSPACE_ID"
"1","ESR11386","","","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/09 HA, NA (H1N1)","",NA,"",NA,"","N","","Serology Core","Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/09 HA, NA (H1N1)","","",NA,2799
"2","ESR11387","","","A/Perth/16/2009 (H3N2)","","FR-370; Lot 59035772","",NA,"","N","","ATCC","A/Perth/16/2009 (H3N2)","","",NA,2799
"3","ESR11388","","","B/Brisbane/60/2008","","CDC","",NA,"","","","","","","",NA,NA
"4","ESR11389","ANA809","CD3","CD3","",NA,"Anti-CD3",NA,"","N",NA,NA,"CD3","FITC","Other",NA,2799
"5","ESR11390","ANA804","CD14","CD14","AB_400312","347497","Clone M phi P9",NA,"AB_400312","N",NA,"BD Biosciences","CD14","PE","Flow Cytometry",NA,2799
"6","ESR11391","ANA805","CD19","CD19","AB_130854","IM2708U","Clone J4.119",NA,"AB_130854","N","44","Beckman Coulter","CD19","ECD","Flow Cytometry",NA,2799
"7","ESR11392","ANA806","CD20","CD20","AB_395990","555624","Clone 2H7",NA,"AB_395990","N","29917","BD Biosciences","CD20","PC5","Flow Cytometry",NA,2799
"8","ESR11393","ANA815","CD56","CD56","AB_395907","555517","Clone B159",NA,"AB_395907","N",NA,"BD Biosciences","CD56","PC5","Flow Cytometry",NA,2799
"9","ESR11394","ANA808","CD38","CD38","AB_399969","335790","Clone HB7",NA,"AB_399969","N","52279","BD Biosciences","CD38","PC7","Flow Cytometry",NA,2799
"10","ESR11395","ANA891","CD138","CD138","AB_400571","347207","Clone MI15",NA,"AB_400571","N","8320","BD Biosciences","CD138","APC","Flow Cytometry",NA,2799
"11","ESR11396","ANA811","CD16","CD16","",NA,"Anti-CD16",NA,"","N",NA,NA,"CD16","A700","Other",NA,2799
"12","ESR11397","ANA40","CD27","CD27","AB_571977","302816","Clone O323",NA,"AB_571977","N","B122214","Biolegend","CD27","APC-Cy7","Flow Cytometry",NA,2799
"13","ESR11398","ANA868","B7-2","B7-2","AB_1645585","560357","Anti-CD86",NA,"AB_1645585","N","77916","BD Biosciences","CD86","V450 (PB)","Flow Cytometry",NA,2799
"14","ESR11399","ANA822","CD45RO","CD45","AB_10376143; AB_1475776","MHCD4530","Clone HI30",NA,"AB_1475776,AB_10376143","N","954368A","Invitrogen","CD45","PO","Other",NA,2799
