"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"1","ES769620","TRT1105"
"2","ES769621","TRT1105"
"3","ES769622","TRT1105"
"4","ES769623","TRT1105"
"5","ES769624","TRT1105"
"6","ES769625","TRT1105"
"7","ES769626","TRT1105"
"8","ES769627","TRT1105"
"9","ES769628","TRT1105"
"10","ES769629","TRT1105"
"11","ES769630","TRT1105"
"12","ES769631","TRT1105"
"13","ES769632","TRT1105"
"14","ES769633","TRT1105"
"15","ES769634","TRT1105"
"16","ES769635","TRT1105"
"17","ES769636","TRT1105"
"18","ES769637","TRT1105"
"19","ES769638","TRT1105"
"20","ES769639","TRT1105"
"21","ES769640","TRT1105"
"22","ES769641","TRT1105"
"23","ES769642","TRT1105"
"24","ES769643","TRT1105"
"25","ES769644","TRT1105"
"26","ES769645","TRT1105"
"27","ES769646","TRT1105"
"28","ES769647","TRT1105"
"29","ES769648","TRT1105"
"30","ES769649","TRT1105"
"31","ES769650","TRT1105"
"32","ES769651","TRT1105"
"33","ES769652","TRT1105"
"34","ES769653","TRT1105"
"35","ES769654","TRT1105"
"36","ES769655","TRT1105"
"37","ES769656","TRT1105"
"38","ES769657","TRT1105"
"39","ES769658","TRT1105"
"40","ES769659","TRT1105"
"41","ES769660","TRT1105"
"42","ES769661","TRT1105"
"43","ES769662","TRT1105"
"44","ES769663","TRT1105"
"45","ES769664","TRT1105"
"46","ES769665","TRT1105"
"47","ES769666","TRT1105"
"48","ES769667","TRT1105"
"49","ES769668","TRT1105"
"50","ES769669","TRT1105"
"51","ES769670","TRT1105"
"52","ES769671","TRT1105"
"53","ES769672","TRT1105"
"54","ES769673","TRT1105"
"55","ES769674","TRT1105"
"56","ES769675","TRT1105"
"57","ES769676","TRT1105"
"58","ES769677","TRT1105"
"59","ES769678","TRT1105"
"60","ES769679","TRT1105"
"61","ES769680","TRT1105"
"62","ES769681","TRT1105"
"63","ES769682","TRT1105"
"64","ES769683","TRT1105"
"65","ES769684","TRT1105"
"66","ES769685","TRT1105"
"67","ES769686","TRT1105"
"68","ES769687","TRT1105"
"69","ES769688","TRT1105"
"70","ES769689","TRT1105"
"71","ES769690","TRT1105"
"72","ES769691","TRT1105"
"73","ES769692","TRT1105"
"74","ES769693","TRT1105"
"75","ES769694","TRT1105"
"76","ES769695","TRT1105"
"77","ES769696","TRT1105"
"78","ES769697","TRT1105"
"79","ES769698","TRT1105"
"80","ES769699","TRT1105"
"81","ES769700","TRT1105"
"82","ES769701","TRT1105"
"83","ES769702","TRT1105"
"84","ES769703","TRT1105"
"85","ES769704","TRT1105"
"86","ES769705","TRT1105"
"87","ES769706","TRT1105"
"88","ES769707","TRT1105"
"89","ES769708","TRT1105"
"90","ES769709","TRT1105"
