"","NAME","UNIPROT_ID","UNIPROT_GENE_NAME","DESCRIPTION","LINK"
"1","A6NI73","LIRA5_HUMAN","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5","https://www.uniprot.org/uniprot/A6NI73"
"2","F7VJQ1","APRIO_HUMAN","PRNP","Alternative prion protein","https://www.uniprot.org/uniprot/F7VJQ1"
"3","O00144","FZD9_HUMAN","FZD9","Frizzled-9","https://www.uniprot.org/uniprot/O00144"
"4","O00175","CCL24_HUMAN","CCL24","C-C motif chemokine 24","https://www.uniprot.org/uniprot/O00175"
"5","O00206","TLR4_HUMAN","TLR4","Toll-like receptor 4","https://www.uniprot.org/uniprot/O00206"
"6","O00220","TR10A_HUMAN","TNFRSF10A","Tumor necrosis factor receptor superfamily member 10A","https://www.uniprot.org/uniprot/O00220"
"7","O00238","BMR1B_HUMAN","BMPR1B","Bone morphogenetic protein receptor type-1B","https://www.uniprot.org/uniprot/O00238"
"8","O00241","SIRB1_HUMAN","SIRPB1","Signal-regulatory protein beta-1","https://www.uniprot.org/uniprot/O00241"
"9","O00300","TR11B_HUMAN","TNFRSF11B","Tumor necrosis factor receptor superfamily member 11B","https://www.uniprot.org/uniprot/O00300"
"10","O00481","BT3A1_HUMAN","BTN3A1","Butyrophilin subfamily 3 member A1","https://www.uniprot.org/uniprot/O00481"
"11","O00574","CXCR6_HUMAN","CXCR6","C-X-C chemokine receptor type 6","https://www.uniprot.org/uniprot/O00574"
"12","O00585","CCL21_HUMAN","CCL21","C-C motif chemokine 21","https://www.uniprot.org/uniprot/O00585"
"13","O00626","CCL22_HUMAN","CCL22","C-C motif chemokine 22","https://www.uniprot.org/uniprot/O00626"
"14","O14625","CXL11_HUMAN","CXCL11","C-X-C motif chemokine 11","https://www.uniprot.org/uniprot/O14625"
"15","O14638","ENPP3_HUMAN","ENPP3","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3","https://www.uniprot.org/uniprot/O14638"
"16","O14672","ADA10_HUMAN","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10","https://www.uniprot.org/uniprot/O14672"
"17","O14763","TR10B_HUMAN","TNFRSF10B","Tumor necrosis factor receptor superfamily member 10B","https://www.uniprot.org/uniprot/O14763"
"18","O14786","NRP1_HUMAN","NRP1","Neuropilin-1","https://www.uniprot.org/uniprot/O14786"
