"","ANALYTE_ACCESSION","GENE_SYMBOL","GENE_ALIASES","GENE_ID","GENETIC_NOMENCLATURE_ID","IMMUNOLOGY_SYMBOL","LINK","OFFICIAL_GENE_NAME","PROTEIN_ONTOLOGY_ID","PROTEIN_ONTOLOGY_NAME","PROTEIN_ONTOLOGY_SYNONYMS","PROTEIN_ONTOLOGY_SHORT_LABEL","TAXONOMY_ID","UNIPROT_ENTRY","UNIPROT_ENTRY_NAME"
"1","ANA108","IFNB1","IFB;IFF;IFNB;","3456","HGNC:5434","IFNB1","http://www.ncbi.nlm.nih.gov/gene/3456","interferon, beta 1, fibroblast","PR:P01574","interferon beta (human)","IFN-beta (human);fibroblast interferon (human);hIFNB1;interferon beta 1 (human)","hIFNB1",9606,"IFNB_HUMAN","Interferon beta"
"2","ANA109","IFNE","IFN-E;IFNE1;IFNT1;INFE1;PRO655;","338376","HGNC:18163","IFNE","http://www.ncbi.nlm.nih.gov/gene/338376","interferon, epsilon","PR:Q86WN2","interferon epsilon (human)","IFN-epsilon (human);hIFNE;interferon epsilon-1 (human)","hIFNE",9606,"IFNE_HUMAN","Interferon epsilon"
"3","ANA11","CCL2","HC11;MCAF;MCP1;MCP-1;SCYA2;GDCF-2;SMC-CF;HSMCR30;","6347","HGNC:10618","MCP1","http://www.ncbi.nlm.nih.gov/gene/6347","chemokine (C-C motif) ligand 2","PR:P13500","C-C motif chemokine 2 (human)","HC11 (human);MCAF (human);MCP-1 (human);hCCL2;monocyte chemoattractant protein 1 (human);monocyte chemotactic and activating factor (human);monocyte chemotactic protein 1 (human);monocyte secretory protein JE (human);small-inducible cytokine A2 (human)","hCCL2",9606,"CCL2_HUMAN","C-C motif chemokine 2"
"4","ANA110","IFNG","IFG;IFI;","3458","HGNC:5438","IFNG","http://www.ncbi.nlm.nih.gov/gene/3458","interferon, gamma","PR:P01579","interferon gamma (human)","IFN-gamma (human);hIFNG;immune interferon (human)","hIFNG",9606,"IFNG_HUMAN","Interferon gamma"
"5","ANA111","IFNGR1","RP3-503F13.3;CD119;IFNGR;","3459","HGNC:5439","IFNGR1","http://www.ncbi.nlm.nih.gov/gene/3459","interferon gamma receptor 1","PR:P15260","interferon gamma receptor 1 (human)","CD119 (human);CDw119 (human);IFN-gamma receptor 1 (human);IFN-gamma-R-alpha (human);IFN-gamma-R1 (human);hIFNGR1;interferon gamma receptor alpha-chain (human)","hIFNGR1",9606,"INGR1_HUMAN","Interferon gamma receptor 1"
"6","ANA112","IFNGR2","AF-1;IFGR2;IFNGT1;","3460","HGNC:5440","IFNGR2","http://www.ncbi.nlm.nih.gov/gene/3460","interferon gamma receptor 2 (interferon gamma transducer 1)","PR:P38484","interferon gamma receptor 2 (human)","AF-1 (human);IFN-gamma receptor 2 (human);IFN-gamma-R-beta (human);IFN-gamma-R2 (human);hIFNGR2;interferon gamma receptor accessory factor 1 (human);interferon gamma receptor beta-chain (human);interferon gamma transducer 1 (human)","hIFNGR2",9606,"INGR2_HUMAN","Interferon gamma receptor 2"
"7","ANA113","IFNK","IFNT1;INFE1;","56832","HGNC:21714","IFNK","http://www.ncbi.nlm.nih.gov/gene/56832","interferon, kappa","PR:Q9P0W0","interferon kappa (human)","IFN-kappa (human);hIFNK","hIFNK",9606,"IFNK_HUMAN","Interferon kappa"
"8","ANA114","IFNL1","IL29;IL-29;","282618","HGNC:18363","IFNL1","http://www.ncbi.nlm.nih.gov/gene/282618","interferon, lambda 1","PR:Q8IU54","interferon lambda-1 (human)","IFN-lambda-1 (human);IL-29 (human);cytokine Zcyto21 (human);hIFNL1;interleukin-29 (human)","hIFNL1",9606,"IFNL1_HUMAN","Interferon lambda-1"
"9","ANA115","IFNL2","IL28A;IL-28A;","282616","HGNC:18364","IL28A","http://www.ncbi.nlm.nih.gov/gene/282616","interferon, lambda 2","PR:Q8IZJ0","interferon lambda-2 (human)","IFN-lambda-2 (human);IL-28A (human);cytokine Zcyto20 (human);hIFNL2;interleukin-28A (human)","hIFNL2",9606,"IFNL2_HUMAN","Interferon lambda-2"
"10","ANA122","IL11RA","hCG_2011440;CRSDA;","3590","HGNC:5967","IL11RA","http://www.ncbi.nlm.nih.gov/gene/3590","interleukin 11 receptor, alpha","PR:Q14626","interleukin-11 receptor subunit alpha (human)","IL-11 receptor subunit alpha (human);IL-11R subunit alpha (human);IL-11R-alpha (human);IL-11RA (human);hIL11RA","hIL11RA",9606,"I11RA_HUMAN","Interleukin-11 receptor subunit alpha"
"11","ANA123","IL12A","P35;CLMF;NFSK;NKSF1;IL-12A;","3592","HGNC:5969","IL12p35","http://www.ncbi.nlm.nih.gov/gene/3592","interleukin 12A","PR:P29459","interleukin-12 subunit alpha (human)","CLMF p35 (human);IL-12 subunit p35 (human);IL-12A (human);NK cell stimulatory factor chain 1 (human);cytotoxic lymphocyte maturation factor 35 kDa subunit (human);hIL12A","hIL12A",9606,"IL12A_HUMAN","Interleukin-12 subunit alpha"
"12","ANA124","IL12B","CLMF;NKSF;CLMF2;NKSF2;IL-12B;","3593","HGNC:5970","IL12p40","http://www.ncbi.nlm.nih.gov/gene/3593","interleukin 12B","PR:P29460","interleukin-12 subunit beta (human)","CLMF p40 (human);IL-12 subunit p40 (human);IL-12B (human);NK cell stimulatory factor chain 2 (human);cytotoxic lymphocyte maturation factor 40 kDa subunit (human);hIL12B","hIL12B",9606,"IL12B_HUMAN","Interleukin-12 subunit beta"
"13","ANA125","IL12RB1","CD212;IL-12R-BETA1;IL12RB;","3594","HGNC:5971","IL12RB1","http://www.ncbi.nlm.nih.gov/gene/3594","interleukin 12 receptor, beta 1","PR:P42701","interleukin-12 receptor subunit beta-1 (human)","CD212 (human);IL-12 receptor beta component (human);IL-12 receptor subunit beta-1 (human);IL-12R subunit beta-1 (human);IL-12R-beta-1 (human);IL-12RB1 (human);hIL12RB1","hIL12RB1",9606,"I12R1_HUMAN","Interleukin-12 receptor subunit beta-1"
"14","ANA126","IL12RB2","RP11-102M16.1;","3595","HGNC:5972","IL12RB2","http://www.ncbi.nlm.nih.gov/gene/3595","interleukin 12 receptor, beta 2","PR:Q99665","interleukin-12 receptor subunit beta-2 (human)","IL-12 receptor subunit beta-2 (human);IL-12R subunit beta-2 (human);IL-12R-beta-2 (human);IL-12RB2 (human);hIL12RB2","hIL12RB2",9606,"I12R2_HUMAN","Interleukin-12 receptor subunit beta-2"
"15","ANA127","IL13","P600;IL-13;","3596","HGNC:5973","IL13","http://www.ncbi.nlm.nih.gov/gene/3596","interleukin 13","PR:P35225","interleukin-13 (human)","IL-13 (human);hIL13","hIL13",9606,"IL13_HUMAN","Interleukin-13"
"16","ANA128","IL13RA1","RP13-128O4.2;CD213A1;IL-13Ra;NR4;","3597","HGNC:5974","CD213A1","http://www.ncbi.nlm.nih.gov/gene/3597","interleukin 13 receptor, alpha 1","PR:P78552","interleukin-13 receptor subunit alpha-1 (human)","CD213a1 (human);CT19 (human);IL-13 receptor subunit alpha-1 (human);IL-13R subunit alpha-1 (human);IL-13R-alpha-1 (human);IL-13RA1 (human);cancer/testis antigen 19 (human);hIL13RA1","hIL13RA1",9606,"I13R1_HUMAN","Interleukin-13 receptor subunit alpha-1"
"17","ANA129","IL13RA2","CD213A2;CT19;IL-13R;IL13BP;","3598","HGNC:5975","CD213A2","http://www.ncbi.nlm.nih.gov/gene/3598","interleukin 13 receptor, alpha 2","PR:Q14627","interleukin-13 receptor subunit alpha-2 (human)","CD213a2 (human);IL-13 receptor subunit alpha-2 (human);IL-13R subunit alpha-2 (human);IL-13R-alpha-2 (human);IL-13RA2 (human);hIL13RA2;interleukin-13-binding protein (human)","hIL13RA2",9606,"I13R2_HUMAN","Interleukin-13 receptor subunit alpha-2"
"18","ANA13","CCL21","ECL;SLC;CKb9;TCA4;6Ckine;SCYA21;","6366","HGNC:10620","CCL21","http://www.ncbi.nlm.nih.gov/gene/6366","chemokine (C-C motif) ligand 21","PR:O00585","C-C motif chemokine 21 (human)","6Ckine (human);SLC (human);beta-chemokine exodus-2 (human);hCCL21;secondary lymphoid-tissue chemokine (human);small-inducible cytokine A21 (human)","hCCL21",9606,"CCL21_HUMAN","C-C motif chemokine 21"
"19","ANA130","IL15","IL-15;","3600","HGNC:5977","IL15","http://www.ncbi.nlm.nih.gov/gene/3600","interleukin 15","PR:P40933","interleukin-15 (human)","IL-15 (human);hIL15","hIL15",9606,"IL15_HUMAN","Interleukin-15"
"20","ANA131","IL15RA","RP11-536K7.2;CD215;","3601","HGNC:5978","IL15RA","http://www.ncbi.nlm.nih.gov/gene/3601","interleukin 15 receptor, alpha","PR:Q13261","interleukin-15 receptor subunit alpha (human)","CD215 (human);IL-15 receptor subunit alpha (human);IL-15R-alpha (human);IL-15RA (human);hIL15RA","hIL15RA",9606,"I15RA_HUMAN","Soluble interleukin-15 receptor subunit alpha"
"21","ANA132","IL16","LCF;NIL16;PRIL16;prIL-16;","3603","HGNC:5980","IL16","http://www.ncbi.nlm.nih.gov/gene/3603","interleukin 16","PR:Q14005","pro-interleukin-16 (human)","hIL16","hIL16",9606,"IL16_HUMAN","Interleukin-16"
"22","ANA133","IL17A","IL17;CTLA8;IL-17;IL-17A;","3605","HGNC:5981","IL17A","http://www.ncbi.nlm.nih.gov/gene/3605","interleukin 17A","PR:Q16552","interleukin-17A (human)","CTLA-8 (human);IL-17 (human);IL-17A (human);cytotoxic T-lymphocyte-associated antigen 8 (human);hIL17A","hIL17A",9606,"IL17_HUMAN","Interleukin-17A"
"23","ANA134","IL17B","NIRF;IL-20;IL-17B;ZCYTO7;","27190","HGNC:5982","IL17B","http://www.ncbi.nlm.nih.gov/gene/27190","interleukin 17B","PR:Q9UHF5","interleukin-17B (human)","IL-17B (human);cytokine Zcyto7 (human);hIL17B;neuronal interleukin-17-related factor (human)","hIL17B",9606,"IL17B_HUMAN","Interleukin-17B"
"24","ANA135","IL17C","CX2;IL-17C;","27189","HGNC:5983","IL17C","http://www.ncbi.nlm.nih.gov/gene/27189","interleukin 17C","PR:Q9P0M4","interleukin-17C (human)","IL-17C (human);cytokine CX2 (human);hIL17C","hIL17C",9606,"IL17C_HUMAN","Interleukin-17C"
"25","ANA136","IL17D","IL27;IL-27;IL-17D;","53342","HGNC:5984","IL17D","http://www.ncbi.nlm.nih.gov/gene/53342","interleukin 17D","PR:Q8TAD2","interleukin-17D (human)","IL-17D (human);IL-27 (human);hIL17D;interleukin-27 (human)","hIL17D",9606,"IL17D_HUMAN","Interleukin-17D"
"26","ANA137","IL17F","ML1;ML-1;CANDF6;IL-17F;","112744","HGNC:16404","IL17F","http://www.ncbi.nlm.nih.gov/gene/112744","interleukin 17F","PR:Q96PD4","interleukin-17F (human)","IL-17F (human);cytokine ML-1 (human);hIL17F","hIL17F",9606,"IL17F_HUMAN","Interleukin-17F"
"27","ANA116","IFNL3","IL28B;IL28C;IL-28B;","282617","HGNC:18365","IFNL3","http://www.ncbi.nlm.nih.gov/gene/282617","interferon, lambda 3","PR:Q8IZI9","interferon lambda-3 (human)","IFN-lambda-3 (human);IL-28B (human);IL-28C (human);cytokine Zcyto22 (human);hIFNL3;interleukin-28B (human);interleukin-28C (human)","hIFNL3",9606,"IFNL3_HUMAN","Interferon lambda-3"
"28","ANA117","IFNLR1","RP11-10N16.1;CRF2/12;IFNLR;IL-28R1;IL28RA;LICR2;","163702","HGNC:18584","IFNLR1","http://www.ncbi.nlm.nih.gov/gene/163702","interferon, lambda receptor 1","PR:Q8IU57","interferon lambda receptor 1 (human)","CRF2-12 (human);IFN-lambda receptor 1 (human);IFN-lambda-R1 (human);IL-28 receptor subunit alpha (human);IL-28R-alpha (human);IL-28RA (human);cytokine receptor class-II member 12 (human);cytokine receptor family 2 member 12 (human);hIFNLR1;interleukin-28 receptor subunit alpha (human);likely interleukin or cytokine receptor 2 (human)","hIFNLR1",9606,"INLR1_HUMAN","Interferon lambda receptor 1"
"29","ANA118","IL10","CSIF;TGIF;GVHDS;IL-10;IL10A;","3586","HGNC:5962","IL10","http://www.ncbi.nlm.nih.gov/gene/3586","interleukin 10","PR:P22301","interleukin-10 (human)","CSIF (human);IL-10 (human);cytokine synthesis inhibitory factor (human);hIL10","hIL10",9606,"IL10_HUMAN","Interleukin-10"
